#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
VPSHUFB           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0x00 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VFNMSUB213SD      ; Vdq,Hdq,Wsd         ; n/a             ;  vex m:2 p:1 l:i w:1 0xAF /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3

# 0xB0 - 0xBF
VCVTNEOPH2PS      ; Vx,Mx               ; n/a             ;  vex m:2 p:0 l:x w:0 0xB0 /r:mem      ; s:AVXNECONVERT, t:AVXNECONVERT, w:W|R, e:4
VCVTNEEPH2PS      ; Vx,Mx               ; n/a             ;  vex m:2 p:1 l:x w:0 0xB0 /r:mem      ; s:AVXNECONVERT, t:AVXNECONVERT, w:W|R, e:4
VCVTNEEBF162PS    ; Vx,Mx               ; n/a             ;  vex m:2 p:2 l:x w:0 0xB0 /r:mem      ; s:AVXNECONVERT, t:AVXNECONVERT, w:W|R, e:4
VCVTNEOBF162PS    ; Vx,Mx               ; n/a             ;  vex m:2 p:3 l:x w:0 0xB0 /r:mem      ; s:AVXNECONVERT, t:AVXNECONVERT, w:W|R, e:4
VBCSTNESH2PS      ; Vx,Mw               ; n/a             ;  vex m:2 p:1 l:x w:0 0xB1 /r:mem      ; s:AVXNECONVERT, t:AVXNECONVERT, w:W|R, e:5
VBCSTNEBF162PS    ; Vx,Mw               ; n/a             ;  vex m:2 p:2 l:x w:0 0xB1 /r:mem      ; s:AVXNECONVERT, t:AVXNECONVERT, w:W|R, e:5

VPMADD52LUQ       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xB4 /r          ; s:AVXIFMA, t:AVXIFMA, w:RW|R|R, e:4
VPMADD52HUQ       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xB5 /r          ; s:AVXIFMA, t:AVXIFMA, w:RW|R|R, e:4

VFMADDSUB231PS    ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xB6 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMADDSUB231PD    ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xB6 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMSUBADD231PS    ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xB7 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMSUBADD231PD    ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xB7 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMADD231PS       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xB8 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMADD231PD       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xB8 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMADD231SS       ; Vdq,Hdq,Wss         ; n/a             ;  vex m:2 p:1 l:i w:0 0xB9 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFMADD231SD       ; Vdq,Hdq,Wsd         ; n/a             ;  vex m:2 p:1 l:i w:1 0xB9 /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFMSUB231PS       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xBA /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMSUB231PD       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xBA /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFMSUB231SS       ; Vdq,Hdq,Wss         ; n/a             ;  vex m:2 p:1 l:i w:0 0xBB /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFMSUB231SD       ; Vdq,Hdq,Wsd         ; n/a             ;  vex m:2 p:1 l:i w:1 0xBB /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFNMADD231PS      ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xBC /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFNMADD231PD      ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xBC /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFNMADD231SS      ; Vdq,Hdq,Wss         ; n/a             ;  vex m:2 p:1 l:i w:0 0xBD /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFNMADD231SD      ; Vdq,Hdq,Wsd         ; n/a             ;  vex m:2 p:1 l:i w:1 0xBD /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFNMSUB231PS      ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xBE /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFNMSUB231PD      ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:1 0xBE /r          ; s:FMA, t:VFMA, w:RW|R|R, e:2
VFNMSUB231SS      ; Vdq,Hdq,Wss         ; n/a             ;  vex m:2 p:1 l:i w:0 0xBF /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VFNMSUB231SD      ; Vdq,Hdq,Wsd         ; n/a             ;  vex m:2 p:1 l:i w:1 0xBF /r          ; s:FMA, t:VFMA, w:RW|R|R, e:3
VGF2P8MULB        ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:0 0xCF /r          ; s:GFNI, t:GFNI, w:W|R|R
VAESIMC           ; Vdq,Wdq             ; n/a             ;  vex m:2 p:1 l:0 w:i 0xDB /r          ; s:AES, t:AES, w:W|R, e:4
VAESENC           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0xDC /r          ; s:AES, t:AES, w:W|R|R, e:4
VAESENCLAST       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0xDD /r          ; s:AES, t:AES, w:W|R|R, e:4
VAESDEC           ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0xDE /r          ; s:AES, t:AES, w:W|R|R, e:4
VAESDECLAST       ; Vx,Hx,Wx            ; n/a             ;  vex m:2 p:1 l:x w:i 0xDF /r          ; s:AES, t:AES, w:W|R|R, e:4

# 0xE0 - 0xEF
CMPOXADD          ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xE0 /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPNOXADD         ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xE1 /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPCXADD          ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xE2 /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPNCXADD         ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xE3 /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPZXADD          ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xE4 /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPNZXADD         ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xE5 /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPBEXADD         ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xE6 /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPNBEXADD        ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xE7 /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPSXADD          ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xE8 /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPNSXADD         ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xE9 /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPPXADD          ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xEA /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPNPXADD         ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xEB /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPLXADD          ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xEC /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPNLXADD         ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xED /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPLEXADD         ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xEE /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14
CMPNLEXADD        ; My,Gy,By            ; Fv              ;  vex m:2 p:1 l:0 w:x 0xEF /r:mem      ; s:CMPCCXADD, t:CMPCCXADD, w:RW|RW|R|W, a:COND, f:ARITH, e:14

# 0xF0 - 0xFF
ANDN              ; Gy,By,Ey            ; Fv              ;  vex m:2 p:0 l:0 w:x 0xF2 /r          ; s:BMI1, t:BMI1, w:W|R|R|W, f:CF=0|PF=u|AF=u|ZF=m|SF=m|OF=0, e:13
BLSR              ; By,Ey               ; Fv              ;  vex m:2 p:0 l:0 w:x 0xF3 /1          ; s:BMI1, t:BMI1, w:W|R|W, f:CF=m|PF=u|AF=u|ZF=m|SF=m|OF=0, e:13
BLSMSK            ; By,Ey               ; Fv              ;  vex m:2 p:0 l:0 w:x 0xF3 /2          ; s:BMI1, t:BMI1, w:W|R|W, f:CF=m|PF=u|AF=u|ZF=0|SF=m|OF=0, e:13
BLSI              ; By,Ey               ; Fv              ;  vex m:2 p:0 l:0 w:x 0xF3 /3          ; s:BMI1, t:BMI1, w:W|R|W, f:CF=m|PF=u|AF=u|ZF=m|SF=m|OF=0, e:13
BZHI              ; Gy,Ey,By            ; Fv              ;  vex m:2 p:0 l:0 w:x 0xF5 /r          ; s:BMI2, t:BMI2, w:W|R|R|W, f:CF=m|PF=u|AF=u|ZF=m|SF=m|OF=0, e:13
PEXT              ; Gy,By,Ey            ; n/a             ;  vex m:2 p:2 l:0 w:x 0xF5 /r          ; s:BMI2, t:BMI2, w:W|R|R|W, e:13
PDEP              ; Gy,By,Ey            ; n/a             ;  vex m:2 p:3 l:0 w:x 0xF5 /r          ; s:BMI2, t:BMI2, w:W|R|R|W, e:13
MULX              ; Gy,By,Ey            ; yDX             ;  vex m:2 p:3 l:0 w:x 0xF6 /r          ; s:BMI2, t:BMI2, w:W|W|R|R, e:13
BEXTR             ; Gy,Ey,By            ; Fv              ;  vex m:2 p:0 l:0 w:x 0xF7 /r          ; s:BMI1, t:BMI1, w:W|R|R|W, f:CF=0|PF=u|AF=u|ZF=m|SF=u|OF=0, e:13
SHLX              ; Gy,Ey,By            ; n/a             ;  vex m:2 p:1 l:0 w:x 0xF7 /r          ; s:BMI2, t:BMI2, w:W|R|R, e:13
SARX              ; Gy,Ey,By            ; n/a             ;  vex m:2 p:2 l:0 w:x 0xF7 /r          ; s:BMI2, t:BMI2, w:W|R|R, e:13
SHRX              ; Gy,Ey,By            ; n/a             ;  vex m:2 p:3 l:0 w:x 0xF7 /r          ; s:BMI2, t:BMI2, w:W|R|R, e:13
