#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
ADD          ; Eb,Gb       ; Fv                ;            0x00 /r        ; s:I86, t:ARITH, w:RW|R|W, f:ARITH, p:HLE|LOCK
CWDE         ; n/a         ; EAX,AX            ;       ds32 0x98           ; s:I386, t:CONVERT, w:W|R
CDQE         ; n/a         ; RAX,EAX           ;       ds64 0x98           ; s:I386, t:CONVERT, w:W|R
CWD          ; n/a         ; DX,AX             ;       ds16 0x99           ; s:I386, t:CONVERT, w:W|R
CDQ          ; n/a         ; EDX,EAX           ;       ds32 0x99           ; s:I386, t:CONVERT, w:W|R
CQO          ; n/a         ; RDX,RAX           ;       ds64 0x99           ; s:I386, t:CONVERT, w:W|R
CALLF        ; Ap          ; CS,rIP,Kv2,SHS2   ;            0x9A cp        ; s:I86, t:CALL, c:CALLFD, w:R|RW|W|W|W, m:NO64|NOSGX
WAIT         ; n/a         ; n/a               ;            0x9B           ; s:X87, t:X87_ALU
PUSHFW       ; Fv          ; Kv                ;       ds16 0x9C           ; s:I86, t:PUSH, c:PUSHF, w:R|W, a:D64
PUSHFD       ; Fv          ; Kv                ;       ds32 0x9C           ; s:I86, t:PUSH, c:PUSHF, w:R|W, a:D64
PUSHFQ       ; Fv          ; Kv                ;      dds64 0x9C           ; s:I86, t:PUSH, c:PUSHF, w:R|W, a:D64
POPFW        ; Fv          ; Kv                ;       ds16 0x9D           ; s:I86, t:POP, c:POPF, w:W|R  , a:D64
POPFD        ; Fv          ; Kv                ;       ds32 0x9D           ; s:I86, t:POP, c:POPF, w:W|R  , a:D64
POPFQ        ; Fv          ; Kv                ;      dds64 0x9D           ; s:I86, t:POP, c:POPF, w:W|R  , a:D64
SAHF         ; n/a         ; AH,Fv             ;            0x9E           ; s:I86, t:FLAGOP, w:R|W, f:CF=m|PF=m|AF=m|ZF=m|SF=m
LAHF         ; n/a         ; AH,Fv             ;            0x9F           ; s:I86, t:FLAGOP, w:W|R, f:CF=t|PF=t|AF=t|ZF=t|SF=t

# 0xA0 - 0xAF
MOV          ; AL,Ob       ; n/a               ;            0xA0           ; s:I86, t:DATAXFER, w:W|R
MOV          ; rAX,Ov      ; n/a               ;            0xA1           ; s:I86, t:DATAXFER, w:W|R
MOV          ; Ob,AL       ; n/a               ;            0xA2           ; s:I86, t:DATAXFER, w:W|R
MOV          ; Ov,rAX      ; n/a               ;            0xA3           ; s:I86, t:DATAXFER, w:W|R

MOVSB        ; Yb,Xb       ; aSI,aDI,Fv        ;            0xA4           ; s:I86, t:STRINGOP, c:MOVS, w:W|R|RW|RW|R, f:DF=t, a:OP1DEF|OP2DEF, p:REP
MOVSB        ; Yb,Xb       ; aCX,aSI,aDI,Fv    ;        rep 0xA4           ; s:I86, t:STRINGOP, c:MOVS, w:CW|CR|RCW|RCW|RCW|RW, f:DF=t, a:OP1DEF|OP2DEF, p:REP
MOVSW        ; Yv,Xv       ; aSI,aDI,Fv        ;       ds16 0xA5           ; s:I86, t:STRINGOP, c:MOVS, w:W|R|RW|RW|R, f:DF=t, a:OP1DEF|OP2DEF, p:REP
MOVSW        ; Yv,Xv       ; aCX,aSI,aDI,Fv    ;   rep ds16 0xA5           ; s:I86, t:STRINGOP, c:MOVS, w:CW|CR|RCW|RCW|RCW|RW, f:DF=t, a:OP1DEF|OP2DEF, p:REP
MOVSD        ; Yv,Xv       ; aSI,aDI,Fv        ;       ds32 0xA5           ; s:I86, t:STRINGOP, c:MOVS, w:W|R|RW|RW|R, f:DF=t, a:OP1DEF|OP2DEF, p:REP
MOVSD        ; Yv,Xv       ; aCX,aSI,aDI,Fv    ;   rep ds32 0xA5           ; s:I86, t:STRINGOP, c:MOVS, w:CW|CR|RCW|RCW|RCW|RW, f:DF=t, a:OP1DEF|OP2DEF, p:REP
MOVSQ        ; Yv,Xv       ; aSI,aDI,Fv        ;       ds64 0xA5           ; s:I86, t:STRINGOP, c:MOVS, w:W|R|RW|RW|R, f:DF=t, a:OP1DEF|OP2DEF, p:REP
MOVSQ        ; Yv,Xv       ; aCX,aSI,aDI,Fv    ;   rep ds64 0xA5           ; s:I86, t:STRINGOP, c:MOVS, w:CW|CR|RCW|RCW|RCW|RW, f:DF=t, a:OP1DEF|OP2DEF, p:REP

CMPSB        ; Xb,Yb       ; aSI,aDI,Fv        ;            0xA6           ; s:I86, t:STRINGOP, c:CMPS, w:R|R|RW|RW|R, f:CMPS, a:OP1DEF|OP2DEF, p:REPC
CMPSB        ; Xb,Yb       ; aCX,aSI,aDI,Fv    ;        rep 0xA6           ; s:I86, t:STRINGOP, c:CMPS, w:CR|CR|RCW|RCW|RCW|RW, f:REPCMPS, a:OP1DEF|OP2DEF, p:REPC
CMPSW        ; Xv,Yv       ; aSI,aDI,Fv        ;       ds16 0xA7           ; s:I86, t:STRINGOP, c:CMPS, w:R|R|RW|RW|R, f:CMPS, a:OP1DEF|OP2DEF, p:REPC
CMPSW        ; Xv,Yv       ; aCX,aSI,aDI,Fv    ;   rep ds16 0xA7           ; s:I86, t:STRINGOP, c:CMPS, w:CR|CR|RCW|RCW|RCW|RW, f:REPCMPS, a:OP1DEF|OP2DEF, p:REPC
CMPSD        ; Xv,Yv       ; aSI,aDI,Fv        ;       ds32 0xA7           ; s:I86, t:STRINGOP, c:CMPS, w:R|R|RW|RW|R, f:CMPS, a:OP1DEF|OP2DEF, p:REPC
CMPSD        ; Xv,Yv       ; aCX,aSI,aDI,Fv    ;   rep ds32 0xA7           ; s:I86, t:STRINGOP, c:CMPS, w:CR|CR|RCW|RCW|RCW|RW, f:REPCMPS, a:OP1DEF|OP2DEF, p:REPC
CMPSQ        ; Xv,Yv       ; aSI,aDI,Fv        ;       ds64 0xA7           ; s:I86, t:STRINGOP, c:CMPS, w:R|R|RW|RW|R, f:CMPS, a:OP1DEF|OP2DEF, p:REPC
CMPSQ        ; Xv,Yv       ; aCX,aSI,aDI,Fv    ;   rep ds64 0xA7           ; s:I86, t:STRINGOP, c:CMPS, w:CR|CR|RCW|RCW|RCW|RW, f:REPCMPS, a:OP1DEF|OP2DEF, p:REPC

TEST         ; AL,Ib       ; Fv                ;            0xA8 ib        ; s:I86, t:LOGIC, w:R|R|W, f:LOGIC
TEST         ; rAX,Iz      ; Fv                ;            0xA9 iz        ; s:I86, t:LOGIC, w:R|R|W, f:LOGIC, a:OP2SEXO1

STOSB        ; Yb,AL       ; aDI,Fv            ;            0xAA           ; s:I86, t:STRINGOP, c:STOS, w:W|R|RW|R, f:DF=t          , a:OP1DEF|OP2DEF, p:REP
STOSB        ; Yb,AL       ; aCX,aDI,Fv        ;        rep 0xAA           ; s:I86, t:STRINGOP, c:STOS, w:CW|R|RCW|RCW|RW, f:DF=t , a:OP1DEF|OP2DEF, p:REP
STOSW        ; Yv,AX       ; aDI,Fv            ;       ds16 0xAB           ; s:I86, t:STRINGOP, c:STOS, w:W|R|RW|R, f:DF=t          , a:OP1DEF|OP2DEF, p:REP
STOSW        ; Yv,AX       ; aCX,aDI,Fv        ;   rep ds16 0xAB           ; s:I86, t:STRINGOP, c:STOS, w:CW|R|RCW|RCW|RW, f:DF=t , a:OP1DEF|OP2DEF, p:REP
STOSD        ; Yv,EAX      ; aDI,Fv            ;       ds32 0xAB           ; s:I86, t:STRINGOP, c:STOS, w:W|R|RW|R, f:DF=t          , a:OP1DEF|OP2DEF, p:REP
STOSD        ; Yv,EAX      ; aCX,aDI,Fv        ;   rep ds32 0xAB           ; s:I86, t:STRINGOP, c:STOS, w:CW|R|RCW|RCW|RW, f:DF=t , a:OP1DEF|OP2DEF, p:REP
STOSQ        ; Yv,RAX      ; aDI,Fv            ;       ds64 0xAB           ; s:I86, t:STRINGOP, c:STOS, w:W|R|RW|R, f:DF=t          , a:OP1DEF|OP2DEF, p:REP
STOSQ        ; Yv,RAX      ; aCX,aDI,Fv        ;   rep ds64 0xAB           ; s:I86, t:STRINGOP, c:STOS, w:CW|R|RCW|RCW|RW, f:DF=t , a:OP1DEF|OP2DEF, p:REP

LODSB        ; AL,Xb       ; aSI,Fv            ;            0xAC           ; s:I86, t:STRINGOP, c:LODS, w:W|R|RW|R, f:DF=t         , a:OP1DEF|OP2DEF, p:REP
LODSB        ; AL,Xb       ; aCX,aSI,Fv        ;        rep 0xAC           ; s:I86, t:STRINGOP, c:LODS, w:CW|CR|RCW|RCW|RW, f:DF=t, a:OP1DEF|OP2DEF, p:REP
LODSW        ; AX,Xv       ; aSI,Fv            ;       ds16 0xAD           ; s:I86, t:STRINGOP, c:LODS, w:W|R|RW|R, f:DF=t         , a:OP1DEF|OP2DEF, p:REP
LODSW        ; AX,Xv       ; aCX,aSI,Fv        ;   rep ds16 0xAD           ; s:I86, t:STRINGOP, c:LODS, w:CW|CR|RCW|RCW|RW, f:DF=t, a:OP1DEF|OP2DEF, p:REP
LODSD        ; EAX,Xv      ; aSI,Fv            ;       ds32 0xAD           ; s:I86, t:STRINGOP, c:LODS, w:W|R|RW|R, f:DF=t         , a:OP1DEF|OP2DEF, p:REP
LODSD        ; EAX,Xv      ; aCX,aSI,Fv        ;   rep ds32 0xAD           ; s:I86, t:STRINGOP, c:LODS, w:CW|CR|RCW|RCW|RW, f:DF=t, a:OP1DEF|OP2DEF, p:REP
LODSQ        ; RAX,Xv      ; aSI,Fv            ;       ds64 0xAD           ; s:I86, t:STRINGOP, c:LODS, w:W|R|RW|R, f:DF=t         , a:OP1DEF|OP2DEF, p:REP
LODSQ        ; RAX,Xv      ; aCX,aSI,Fv        ;   rep ds64 0xAD           ; s:I86, t:STRINGOP, c:LODS, w:CW|CR|RCW|RCW|RW, f:DF=t, a:OP1DEF|OP2DEF, p:REP

SCASB        ; AL,Yb       ; aDI,Fv            ;            0xAE           ; s:I86, t:STRINGOP, c:SCAS, w:R|R|RW|RW, f:CMPS, a:OP1DEF|OP2DEF, p:REPC
SCASB        ; AL,Yb       ; aCX,aDI,Fv        ;        rep 0xAE           ; s:I86, t:STRINGOP, c:SCAS, w:R|CR|RCW|RCW|RW, f:REPCMPS, a:OP1DEF|OP2DEF, p:REPC
SCASW        ; AX,Yv       ; aDI,Fv            ;       ds16 0xAF           ; s:I86, t:STRINGOP, c:SCAS, w:R|R|RW|RW, f:CMPS, a:OP1DEF|OP2DEF, p:REPC
SCASW        ; AX,Yv       ; aCX,aDI,Fv        ;   rep ds16 0xAF           ; s:I86, t:STRINGOP, c:SCAS, w:R|CR|RCW|RCW|RW, f:REPCMPS, a:OP1DEF|OP2DEF, p:REPC
SCASD        ; EAX,Yv      ; aDI,Fv            ;       ds32 0xAF           ; s:I86, t:STRINGOP, c:SCAS, w:R|R|RW|RW, f:CMPS, a:OP1DEF|OP2DEF, p:REPC
SCASD        ; EAX,Yv      ; aCX,aDI,Fv        ;   rep ds32 0xAF           ; s:I86, t:STRINGOP, c:SCAS, w:R|CR|RCW|RCW|RW, f:REPCMPS, a:OP1DEF|OP2DEF, p:REPC
SCASQ        ; RAX,Yv      ; aDI,Fv            ;       ds64 0xAF           ; s:I86, t:STRINGOP, c:SCAS, w:R|R|RW|RW, f:CMPS, a:OP1DEF|OP2DEF, p:REPC
SCASQ        ; RAX,Yv      ; aCX,aDI,Fv        ;   rep ds64 0xAF           ; s:I86, t:STRINGOP, c:SCAS, w:R|CR|RCW|RCW|RW, f:REPCMPS, a:OP1DEF|OP2DEF, p:REPC

# 0xB0 - 0xBF
MOV          ; Zb,Ib       ; n/a               ;            0xB0 ib        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zb,Ib       ; n/a               ;            0xB1 ib        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zb,Ib       ; n/a               ;            0xB2 ib        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zb,Ib       ; n/a               ;            0xB3 ib        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zb,Ib       ; n/a               ;            0xB4 ib        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zb,Ib       ; n/a               ;            0xB5 ib        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zb,Ib       ; n/a               ;            0xB6 ib        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zb,Ib       ; n/a               ;            0xB7 ib        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zv,Iv       ; n/a               ;            0xB8 iv        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zv,Iv       ; n/a               ;            0xB9 iv        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zv,Iv       ; n/a               ;            0xBA iv        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zv,Iv       ; n/a               ;            0xBB iv        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zv,Iv       ; n/a               ;            0xBC iv        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zv,Iv       ; n/a               ;            0xBD iv        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zv,Iv       ; n/a               ;            0xBE iv        ; s:I86, t:DATAXFER, w:W|R
MOV          ; Zv,Iv       ; n/a               ;            0xBF iv        ; s:I86, t:DATAXFER, w:W|R

# 0xC0 - 0xCF
ROL          ; Eb,Ib       ; Fv                ;            0xC0 /0 ib     ; s:I86, t:ROTATE, w:RW|R|W, f:ROT
ROR          ; Eb,Ib       ; Fv                ;            0xC0 /1 ib     ; s:I86, t:ROTATE, w:RW|R|W, f:ROT
RCL          ; Eb,Ib       ; Fv                ;            0xC0 /2 ib     ; s:I86, t:ROTATE, w:RW|R|RW, f:ROTC
RCR          ; Eb,Ib       ; Fv                ;            0xC0 /3 ib     ; s:I86, t:ROTATE, w:RW|R|RW, f:ROTC
SHL          ; Eb,Ib       ; Fv                ;            0xC0 /4 ib     ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SHR          ; Eb,Ib       ; Fv                ;            0xC0 /5 ib     ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SAL          ; Eb,Ib       ; Fv                ;            0xC0 /6 ib     ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SAR          ; Eb,Ib       ; Fv                ;            0xC0 /7 ib     ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
ROL          ; Ev,Ib       ; Fv                ;            0xC1 /0 ib     ; s:I86, t:ROTATE, w:RW|R|W, f:ROT
ROR          ; Ev,Ib       ; Fv                ;            0xC1 /1 ib     ; s:I86, t:ROTATE, w:RW|R|W, f:ROT
RCL          ; Ev,Ib       ; Fv                ;            0xC1 /2 ib     ; s:I86, t:ROTATE, w:RW|R|RW, f:ROTC
RCR          ; Ev,Ib       ; Fv                ;            0xC1 /3 ib     ; s:I86, t:ROTATE, w:RW|R|RW, f:ROTC
SHL          ; Ev,Ib       ; Fv                ;            0xC1 /4 ib     ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SHR          ; Ev,Ib       ; Fv                ;            0xC1 /5 ib     ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SAL          ; Ev,Ib       ; Fv                ;            0xC1 /6 ib     ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SAR          ; Ev,Ib       ; Fv                ;            0xC1 /7 ib     ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
RETN         ; Iw          ; rIP,sSP,Kv,SHS1   ;            0xC2 iw        ; s:I86, t:RET, w:R|W|W|R|R, a:F64, p:BND
RETN         ; n/a         ; rIP,Kv,SHS1       ;            0xC3           ; s:I86, t:RET, w:W|R|R, a:F64, p:BND
LES          ; Gz,Mp       ; ES                ;            0xC4 /r:mem    ; s:I86, t:SEGOP, w:W|R|W, m:NO64|NOSGX
LDS          ; Gz,Mp       ; DS                ;            0xC5 /r:mem    ; s:I86, t:SEGOP, w:W|R|W, m:NO64|NOSGX
MOV          ; Eb,Ib       ; n/a               ;            0xC6 /0 ib     ; s:I86, t:DATAXFER, w:W|R, p:XRELEASE|HLEWOL
XABORT       ; Ib          ; yIP,EAX           ;            0xC6 /0xF8 ib  ; s:TSX, t:UNCOND_BR, w:R|W|RCW, i:RTM
MOV          ; Ev,Iz       ; n/a               ;            0xC7 /0 iz     ; s:I86, t:DATAXFER, w:W|R, a:OP2SEXO1, p:XRELEASE|HLEWOL
XBEGIN       ; Jz          ; yIP,EAX           ;            0xC7 /0xF8 cz  ; s:TSX, t:COND_BR, w:R|RCW|CW, i:RTM
ENTER        ; Iw,Ib       ; rBP,sSP,Kv        ;            0xC8 iw ib     ; s:I186, t:MISC, w:R|R|RW|RW|W, a:D64
LEAVE        ; n/a         ; sBP,rBP,rSP,Kv    ;            0xC9           ; s:I186, t:MISC, w:R|RW|RW|R, a:D64
RETF         ; Iw          ; CS,rIP,Kv2,SHS2   ;            0xCA iw        ; s:I86, t:RET, w:R|W|W|R|R
RETF         ; n/a         ; CS,rIP,Kv2,SHS2   ;            0xCB           ; s:I86, t:RET, w:W|W|R|R
INT3         ; n/a         ; CS,rIP,Kv3,Fv,SHS3 ;           0xCC           ; s:I86, t:INTERRUPT, w:RW|RW|RW|W|W, a:CETT, f:INT, m:NOSGX
INT          ; Ib          ; CS,rIP,Kv3,Fv,SHS3 ;           0xCD ib        ; s:I86, t:INTERRUPT, w:R|RW|RW|RW|W|W, a:CETT, f:INT, m:NOSGX
INTO         ; n/a         ; CS,rIP,Kv3,Fv,SHS3 ;           0xCE           ; s:I86, t:INTERRUPT, w:RW|RW|RW|W|W, a:CETT, f:INT, m:NO64|NOSGX
IRETW        ; n/a         ; CS,rIP,Kv3,Fv,SHS3 ;      ds16 0xCF           ; s:I86, t:RET, c:IRET, w:RW|W|R|RW|RW, a:SERIAL
IRETD        ; n/a         ; CS,rIP,Kv3,Fv,SHS3 ;      ds32 0xCF           ; s:I86, t:RET, c:IRET, w:RW|W|R|RW|RW, a:SERIAL
IRETQ        ; n/a         ; CS,rIP,Kv3,Fv,SHS3 ;      ds64 0xCF           ; s:I86, t:RET, c:IRET, w:RW|W|R|RW|RW, a:SERIAL

# 0xD0 - 0xDF
ROL          ; Eb,1        ; Fv                ;            0xD0 /0        ; s:I86, t:ROTATE, w:RW|R|W, f:ROT
ROR          ; Eb,1        ; Fv                ;            0xD0 /1        ; s:I86, t:ROTATE, w:RW|R|W, f:ROT
RCL          ; Eb,1        ; Fv                ;            0xD0 /2        ; s:I86, t:ROTATE, w:RW|R|RW, f:ROTC
RCR          ; Eb,1        ; Fv                ;            0xD0 /3        ; s:I86, t:ROTATE, w:RW|R|RW, f:ROTC
SHL          ; Eb,1        ; Fv                ;            0xD0 /4        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SHR          ; Eb,1        ; Fv                ;            0xD0 /5        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SAL          ; Eb,1        ; Fv                ;            0xD0 /6        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SAR          ; Eb,1        ; Fv                ;            0xD0 /7        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
ROL          ; Ev,1        ; Fv                ;            0xD1 /0        ; s:I86, t:ROTATE, w:RW|R|W, f:ROT
ROR          ; Ev,1        ; Fv                ;            0xD1 /1        ; s:I86, t:ROTATE, w:RW|R|W, f:ROT
RCL          ; Ev,1        ; Fv                ;            0xD1 /2        ; s:I86, t:ROTATE, w:RW|R|RW, f:ROTC
RCR          ; Ev,1        ; Fv                ;            0xD1 /3        ; s:I86, t:ROTATE, w:RW|R|RW, f:ROTC
SHL          ; Ev,1        ; Fv                ;            0xD1 /4        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SHR          ; Ev,1        ; Fv                ;            0xD1 /5        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SAL          ; Ev,1        ; Fv                ;            0xD1 /6        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SAR          ; Ev,1        ; Fv                ;            0xD1 /7        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
ROL          ; Eb,CL       ; Fv                ;            0xD2 /0        ; s:I86, t:ROTATE, w:RW|R|W, f:ROT
ROR          ; Eb,CL       ; Fv                ;            0xD2 /1        ; s:I86, t:ROTATE, w:RW|R|W, f:ROT
RCL          ; Eb,CL       ; Fv                ;            0xD2 /2        ; s:I86, t:ROTATE, w:RW|R|RW, f:ROTC
RCR          ; Eb,CL       ; Fv                ;            0xD2 /3        ; s:I86, t:ROTATE, w:RW|R|RW, f:ROTC
SHL          ; Eb,CL       ; Fv                ;            0xD2 /4        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SHR          ; Eb,CL       ; Fv                ;            0xD2 /5        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SAL          ; Eb,CL       ; Fv                ;            0xD2 /6        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SAR          ; Eb,CL       ; Fv                ;            0xD2 /7        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
ROL          ; Ev,CL       ; Fv                ;            0xD3 /0        ; s:I86, t:ROTATE, w:RW|R|W, f:ROT
ROR          ; Ev,CL       ; Fv                ;            0xD3 /1        ; s:I86, t:ROTATE, w:RW|R|W, f:ROT
RCL          ; Ev,CL       ; Fv                ;            0xD3 /2        ; s:I86, t:ROTATE, w:RW|R|RW, f:ROTC
RCR          ; Ev,CL       ; Fv                ;            0xD3 /3        ; s:I86, t:ROTATE, w:RW|R|RW, f:ROTC
SHL          ; Ev,CL       ; Fv                ;            0xD3 /4        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SHR          ; Ev,CL       ; Fv                ;            0xD3 /5        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SAL          ; Ev,CL       ; Fv                ;            0xD3 /6        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
SAR          ; Ev,CL       ; Fv                ;            0xD3 /7        ; s:I86, t:SHIFT, w:RW|R|W, f:SHIFT
AAM          ; Ib          ; AL,AH,Fv          ;            0xD4 ib        ; s:I86, t:DECIMAL, w:R|RW|W|W,  f:AADM, m:NO64
AAD          ; Ib          ; AL,AH,Fv          ;            0xD5 ib        ; s:I86, t:DECIMAL, w:R|RW|RW|W, f:AADM, m:NO64
SALC         ; n/a         ; AL,Fv             ;            0xD6           ; s:I86, t:FLAGOP, w:W|R, f:CF=t
XLATB        ; n/a         ; AL,pBXALb         ;            0xD7           ; s:I86, t:MISC, w:W|R

# 0xE0 - 0xEF
LOOPNZ       ; Jb          ; aCX,rIP,Fv        ;            0xE0 cb        ; s:I86, t:COND_BR, w:R|RW|CRCW|R, f:ZF=t, a:F64
LOOPZ        ; Jb          ; aCX,rIP,Fv        ;            0xE1 cb        ; s:I86, t:COND_BR, w:R|RW|CRCW|R, f:ZF=t, a:F64
LOOP         ; Jb          ; aCX,rIP,Fv        ;            0xE2 cb        ; s:I86, t:COND_BR, w:R|RW|CRCW|R, a:F64
JCXZ         ; Jb          ; aCX,rIP           ;       as16 0xE3 cb        ; s:I86, t:COND_BR, c:JrCXZ, w:R|R|CRCW, a:F64
JECXZ        ; Jb          ; aCX,rIP           ;       as32 0xE3 cb        ; s:I86, t:COND_BR, c:JrCXZ, w:R|R|CRCW, a:F64
JRCXZ        ; Jb          ; aCX,rIP           ;       as64 0xE3 cb        ; s:I86, t:COND_BR, c:JrCXZ, w:R|R|CRCW, a:F64
IN           ; AL,Ib       ; Fv                ;            0xE4 ib        ; s:I86, t:IO, w:W|R|R, f:IO, m:NOSGX
IN           ; eAX,Ib      ; Fv                ;            0xE5 ib        ; s:I86, t:IO, w:W|R|R, f:IO, m:NOSGX
OUT          ; Ib,AL       ; Fv                ;            0xE6 ib        ; s:I86, t:IO, w:R|R|R, f:IO, a:SERIAL, m:NOSGX
OUT          ; Ib,eAX      ; Fv                ;            0xE7 ib        ; s:I86, t:IO, w:R|R|R, f:IO, a:SERIAL, m:NOSGX
CALL         ; Jz          ; rIP,Kv,SHS1       ;            0xE8 cz        ; s:I86, t:CALL, c:CALLNR, w:R|RW|W|W, a:F64, p:BND
JMP          ; Jz          ; rIP               ;            0xE9 cz        ; s:I86, t:UNCOND_BR, c:JMPNR, w:R|RW, a:F64, p:BND
JMPF         ; Ap          ; CS,rIP            ;            0xEA cp        ; s:I86, t:UNCOND_BR, c:JMPFD, w:R|W|W, m:NO64|NOSGX
JMP          ; Jb          ; rIP               ;            0xEB cb        ; s:I86, t:UNCOND_BR, c:JMPNR, w:R|RW, a:F64, p:BND
IN           ; AL,DX       ; Fv                ;            0xEC           ; s:I86, t:IO, w:W|R|R, f:IO, m:NOSGX
IN           ; eAX,DX      ; Fv                ;            0xED           ; s:I86, t:IO, w:W|R|R, f:IO, m:NOSGX
OUT          ; DX,AL       ; Fv                ;            0xEE           ; s:I86, t:IO, w:R|R|R, f:IO, a:SERIAL, m:NOSGX
OUT          ; DX,eAX      ; Fv                ;            0xEF           ; s:I86, t:IO, w:R|R|R, f:IO, a:SERIAL, m:NOSGX

# 0xF0 - 0xFF
LOCK         ; n/a         ; n/a               ;            0xF0           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
REPNZ        ; n/a         ; n/a               ;            0xF2           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
XACQUIRE     ; n/a         ; n/a               ;            0xF2           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
BND          ; n/a         ; n/a               ;            0xF2           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
REPZ         ; n/a         ; n/a               ;            0xF3           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX
XRELEASE     ; n/a         ; n/a               ;            0xF2           ; s:UNKNOWN, t:UNKNOWN, a:PREFIX

INT1         ; n/a         ; CS,rIP,Kv3,Fv     ;            0xF1           ; s:I86, t:INTERRUPT, w:RW|RW|RW|W, f:INT, m:NOSGX
HLT          ; n/a         ; n/a               ;            0xF4           ; s:I86, t:SYSTEM, m:KERNEL
CMC          ; n/a         ; Fv                ;            0xF5           ; s:I86, t:FLAGOP, w:RW, f:CF=m
TEST         ; Eb,Ib       ; Fv                ;            0xF6 /0 ib     ; s:I86, t:LOGIC, w:R|R|W, f:LOGIC
TEST         ; Eb,Ib       ; Fv                ;            0xF6 /1 ib     ; s:I86, t:LOGIC, w:R|R|W, f:LOGIC
NOT          ; Eb          ; n/a               ;            0xF6 /2        ; s:I86, t:LOGIC, w:RW|W, p:HLE|LOCK
NEG          ; Eb          ; Fv                ;            0xF6 /3        ; s:I86, t:LOGIC, w:RW|W, f:ARITH, p:HLE|LOCK
MUL          ; Eb          ; AL,AX,Fv          ;            0xF6 /4        ; s:I86, t:ARITH, w:R|R|W|W, f:MUL
IMUL         ; Eb          ; AL,AX,Fv          ;            0xF6 /5        ; s:I86, t:ARITH, w:R|R|W|W, f:MUL
DIV          ; Eb          ; AX,AL,AH,Fv       ;            0xF6 /6        ; s:I86, t:ARITH, w:R|R|W|W|W, f:DIV
IDIV         ; Eb          ; AX,AL,AH,Fv       ;            0xF6 /7        ; s:I86, t:ARITH, w:R|R|W|W|W, f:DIV
TEST         ; Ev,Iz       ; Fv                ;            0xF7 /0 iz     ; s:I86, t:LOGIC, w:R|R|W, f:LOGIC, a:OP2SEXO1
TEST         ; Ev,Iz       ; Fv                ;            0xF7 /1 iz     ; s:I86, t:LOGIC, w:R|R|W, f:LOGIC, a:OP2SEXO1
NOT          ; Ev          ; n/a               ;            0xF7 /2        ; s:I86, t:LOGIC, w:RW|W, p:HLE|LOCK
NEG          ; Ev          ; Fv                ;            0xF7 /3        ; s:I86, t:LOGIC, w:RW|W, f:ARITH, p:HLE|LOCK
MUL          ; Ev          ; rAX,rDX,Fv        ;            0xF7 /4        ; s:I86, t:ARITH, w:R|RW|W|W, f:MUL
