#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
SLDT         ; Mw          ; LDTR                    ;            0x0F 0x00 /0:mem        ; s:I286PROT, t:SYSTEM, w:W|R, m:NOREAL|NOSGX
NOP          ; Ev,Gv       ;                         ; cldm  0x66 0x0F 0x1C /0:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ; cldm  0xF3 0x0F 0x1C /0:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ; cldm  0xF2 0x0F 0x1C /0:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ; cldm       0x0F 0x1C /0:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ; cldm       0x0F 0x1C /1            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ; cldm       0x0F 0x1C /2            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ; cldm       0x0F 0x1C /3            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ; cldm       0x0F 0x1C /4            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ; cldm       0x0F 0x1C /5            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ; cldm       0x0F 0x1C /6            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ;                         ; cldm       0x0F 0x1C /7            ; s:PPRO, t:WIDENOP, w:N|N

# CET instructions.
NOP          ; Mv,Gv       ;                         ; cet        0x0F 0x1E /0:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /0:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Mv,Gv       ;                         ; cet        0x0F 0x1E /1:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /1:reg        ; s:PPRO, t:WIDENOP, w:N|N
RDSSPD       ; Rd          ; SSP                     ; cet   repz 0x0F 0x1E /1:reg        ; s:CET_SS, t:CET, c:RSSSP, w:W|R
RDSSPQ       ; Rq          ; SSP                     ; cet repz rexw 0x0F 0x1E /1:reg     ; s:CET_SS, t:CET, c:RSSSP, w:W|R
NOP          ; Mv,Gv       ;                         ; cet        0x0F 0x1E /2:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /2:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Mv,Gv       ;                         ; cet        0x0F 0x1E /3:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /3:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Mv,Gv       ;                         ; cet        0x0F 0x1E /4:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /4:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Mv,Gv       ;                         ; cet        0x0F 0x1E /5:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /5:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Mv,Gv       ;                         ; cet        0x0F 0x1E /6:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /6:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Mv,Gv       ;                         ; cet        0x0F 0x1E /7:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /0xF8         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /0xF9         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /0xFA         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /0xFB         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /0xFC         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /0xFD         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /0xFE         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ;                         ; cet        0x0F 0x1E /0xFF         ; s:PPRO, t:WIDENOP, w:N|N
ENDBR64      ;             ;                         ; cet   repz 0x0F 0x1E /0xFA         ; s:CET_IBT, t:CET, c:ENDBR
ENDBR32      ;             ;                         ; cet   repz 0x0F 0x1E /0xFB         ; s:CET_IBT, t:CET, c:ENDBR


# 0x20 - 0x2F
MOV          ; Ry,Cy       ;                         ;            0x0F 0x20 /r            ; s:I86, t:DATAXFER, c:MOV_CR, w:W|R, a:LOCKSP|MFR|F64, m:KERNEL|NOV86
MOV          ; Ry,Dy       ;                         ;            0x0F 0x21 /r            ; s:I86, t:DATAXFER, c:MOV_DR, w:W|R, a:MFR|F64, m:KERNEL|NOV86
MOV          ; Cy,Ry       ;                         ;            0x0F 0x22 /r            ; s:I86, t:DATAXFER, c:MOV_CR, w:W|R, a:LOCKSP|MFR|F64|SERIAL, m:KERNEL|NOV86
MOV          ; Dy,Ry       ;                         ;            0x0F 0x23 /r            ; s:I86, t:DATAXFER, c:MOV_DR, w:W|R, a:MFR|F64|SERIAL, m:KERNEL|NOV86
MOV          ; Ry,Ty       ;                         ;            0x0F 0x24 /r            ; s:I86, t:DATAXFER, c:MOV_TR, w:W|R, a:MFR|F64, m:KERNEL|NOV86|NO64
MOV          ; Ty,Ry       ;                         ;            0x0F 0x26 /r            ; s:I86, t:DATAXFER, c:MOV_TR, w:W|R, a:MFR|F64, m:KERNEL|NOV86|NO64
MOVAPS       ; Vps,Wps     ;                         ;         NP 0x0F 0x28 /r            ; s:SSE, t:DATAXFER, w:W|R, e:1
MOVAPD       ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x28 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:1
MOVAPS       ; Wps,Vps     ;                         ;         NP 0x0F 0x29 /r            ; s:SSE, t:DATAXFER, w:W|R, e:1
MOVAPD       ; Wpd,Vpd     ;                         ;       0x66 0x0F 0x29 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:1
CVTPI2PS     ; Vq,Qq       ;                         ;         NP 0x0F 0x2A /r            ; s:SSE, t:CONVERT, w:W|R
CVTPI2PD     ; Vpd,Qq      ;                         ;       0x66 0x0F 0x2A /r            ; s:SSE2, t:CONVERT, w:W|R
CVTSI2SS     ; Vss,Ey      ;                         ;       0xF3 0x0F 0x2A /r            ; s:SSE, t:CONVERT, w:W|R, e:3
CVTSI2SD     ; Vsd,Ey      ;                         ;       0xF2 0x0F 0x2A /r            ; s:SSE2, t:CONVERT, w:W|R, e:3
MOVNTPS      ; Mps,Vps     ;                         ;         NP 0x0F 0x2B /r:mem        ; s:SSE, t:DATAXFER, w:W|R, e:1
MOVNTPD      ; Mpd,Vpd     ;                         ;       0x66 0x0F 0x2B /r:mem        ; s:SSE2, t:DATAXFER, w:W|R, e:1
MOVNTSS      ; Mss,Vss     ;                         ;       0xF3 0x0F 0x2B /r:mem        ; s:SSE4A, t:DATAXFER, w:W|R
MOVNTSD      ; Msd,Vsd     ;                         ;       0xF2 0x0F 0x2B /r:mem        ; s:SSE4A, t:DATAXFER, w:W|R
CVTTPS2PI    ; Pq,Wq       ;                         ;         NP 0x0F 0x2C /r            ; s:SSE, t:CONVERT, w:W|R
CVTTPD2PI    ; Pq,Wpd      ;                         ;       0x66 0x0F 0x2C /r            ; s:SSE2, t:CONVERT, w:W|R
CVTTSS2SI    ; Gy,Wss      ;                         ;       0xF3 0x0F 0x2C /r            ; s:SSE, t:CONVERT, w:W|R, e:3
CVTTSD2SI    ; Gy,Wsd      ;                         ;       0xF2 0x0F 0x2C /r            ; s:SSE2, t:CONVERT, w:W|R, e:3
CVTPS2PI     ; Pq,Wq       ;                         ;         NP 0x0F 0x2D /r            ; s:SSE, t:CONVERT, w:W|R
CVTPD2PI     ; Pq,Wpd      ;                         ;       0x66 0x0F 0x2D /r            ; s:SSE2, t:CONVERT, w:W|R
CVTSS2SI     ; Gy,Wss      ;                         ;       0xF3 0x0F 0x2D /r            ; s:SSE, t:CONVERT, w:W|R, e:3
CVTSD2SI     ; Gy,Wsd      ;                         ;       0xF2 0x0F 0x2D /r            ; s:SSE2, t:CONVERT, w:W|R, e:3
UCOMISS      ; Vss,Wss     ; Fv                      ;         NP 0x0F 0x2E /r            ; s:SSE, t:SSE, w:R|R|W, f:COMIS
UCOMISD      ; Vsd,Wsd     ; Fv                      ;       0x66 0x0F 0x2E /r            ; s:SSE2, t:SSE2, w:R|R|W, f:COMIS, e:3
COMISS       ; Vss,Wss     ; Fv                      ;         NP 0x0F 0x2F /r            ; s:SSE, t:SSE, w:R|R|W, f:COMIS, e:3
COMISD       ; Vsd,Wsd     ; Fv                      ;       0x66 0x0F 0x2F /r            ; s:SSE2, t:SSE2, w:R|R|W, f:COMIS, e:3

# 0x30 - 0x3F
WRMSR        ;             ; EAX,EDX,ECX,MSR         ;            0x0F 0x30               ; s:PENTIUMREAL, t:SYSTEM, w:R|R|R|W, a:SERIAL|NOREX2, m:KERNEL|NOV86, i:MSR
RDTSC        ;             ; EAX,EDX,TSC             ;            0x0F 0x31               ; s:PENTIUMREAL, t:SYSTEM, w:W|W|R, a:NOREX2
RDMSR        ;             ; EAX,EDX,ECX,MSR         ;            0x0F 0x32               ; s:PENTIUMREAL, t:SYSTEM, w:W|W|R|R, m:KERNEL|NOV86, i:MSR, a:NOREX2
RDPMC        ;             ; EAX,EDX,ECX,MSR         ;            0x0F 0x33               ; s:RDPMC, t:SYSTEM, w:W|W|R|R, m:NOSGX, a:NOREX2
SYSENTER     ;             ; SCS,SESP,SEIP,SS,sSP,CS,rIP,Fv,SSP ; 0x0F 0x34               ; s:PPRO, t:SYSCALL, w:R|R|R|W|W|W|W|W|RW, a:CETT|NOREX2, i:SEP, f:IF=0, m:NOREAL|NOSGX
SYSEXIT      ;             ; SS,sSP,CS,rIP,SSP,SCS,rCX,rDX      ; 0x0F 0x35               ; s:PPRO, t:SYSRET, w:W|W|W|W|W|R|R|R, a:F64|NOREX2, i:SEP, m:KERNEL|NOREAL
GETSEC       ;             ; EAX,EBX                 ;         NP 0x0F 0x37               ; s:SMX, t:SYSTEM, w:RCW|R, m:KERNEL|NOREAL|NOSGX, a:NOREX2

# 0x40 - 0x4F
CMOVO        ; Gv,Ev       ; Fv                      ;            0x0F 0x40 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CO,   a:COND
CMOVNO       ; Gv,Ev       ; Fv                      ;            0x0F 0x41 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNO,  a:COND
CMOVC        ; Gv,Ev       ; Fv                      ;            0x0F 0x42 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CC,   a:COND
CMOVNC       ; Gv,Ev       ; Fv                      ;            0x0F 0x43 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNC,  a:COND
CMOVZ        ; Gv,Ev       ; Fv                      ;            0x0F 0x44 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CZ,   a:COND
CMOVNZ       ; Gv,Ev       ; Fv                      ;            0x0F 0x45 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNZ,  a:COND
CMOVBE       ; Gv,Ev       ; Fv                      ;            0x0F 0x46 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CBE,  a:COND
CMOVNBE      ; Gv,Ev       ; Fv                      ;            0x0F 0x47 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNBE, a:COND
CMOVS        ; Gv,Ev       ; Fv                      ;            0x0F 0x48 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CS,   a:COND
CMOVNS       ; Gv,Ev       ; Fv                      ;            0x0F 0x49 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNS,  a:COND
CMOVP        ; Gv,Ev       ; Fv                      ;            0x0F 0x4A /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CP,   a:COND
CMOVNP       ; Gv,Ev       ; Fv                      ;            0x0F 0x4B /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNP,  a:COND
CMOVL        ; Gv,Ev       ; Fv                      ;            0x0F 0x4C /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CL,   a:COND
CMOVNL       ; Gv,Ev       ; Fv                      ;            0x0F 0x4D /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNL,  a:COND
CMOVLE       ; Gv,Ev       ; Fv                      ;            0x0F 0x4E /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CLE,  a:COND
CMOVNLE      ; Gv,Ev       ; Fv                      ;            0x0F 0x4F /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNLE, a:COND

# 0x50 - 0x5F
# Note: for MOVMSKPS & MOVMSKPD, the Intel doc says the destination reg is y (32 or 64 bit).
MOVMSKPS     ; Gy,Ups      ;                         ;         NP 0x0F 0x50 /r:reg        ; s:SSE, t:DATAXFER, w:W|R, e:7, a:D64
MOVMSKPD     ; Gy,Upd      ;                         ;       0x66 0x0F 0x50 /r:reg        ; s:SSE2, t:DATAXFER, w:W|R, e:7, a:D64
SQRTPS       ; Vps,Wps     ;                         ;         NP 0x0F 0x51 /r            ; s:SSE, t:SSE, w:W|R, e:2
SQRTPD       ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x51 /r            ; s:SSE2, t:SSE, w:W|R, e:2
SQRTSS       ; Vss,Wss     ;                         ;       0xF3 0x0F 0x51 /r            ; s:SSE, t:SSE, w:W|R, e:3
SQRTSD       ; Vsd,Wsd     ;                         ;       0xF2 0x0F 0x51 /r            ; s:SSE2, t:SSE, w:W|R, e:3
RSQRTPS      ; Vps,Wps     ;                         ;         NP 0x0F 0x52 /r            ; s:SSE, t:SSE, w:W|R, e:4
RSQRTSS      ; Vss,Wss     ;                         ;       0xF3 0x0F 0x52 /r            ; s:SSE, t:SSE, w:W|R, e:5
RCPPS        ; Vps,Wps     ;                         ;         NP 0x0F 0x53 /r            ; s:SSE, t:SSE, w:W|R, e:4
RCPSS        ; Vss,Wss     ;                         ;       0xF3 0x0F 0x53 /r            ; s:SSE, t:SSE, w:W|R, e:5
ANDPS        ; Vps,Wps     ;                         ;         NP 0x0F 0x54 /r            ; s:SSE, t:LOGICAL_FP, w:RW|R, e:4
ANDPD        ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x54 /r            ; s:SSE2, t:LOGICAL_FP, w:RW|R, e:4
ANDNPS       ; Vps,Wps     ;                         ;         NP 0x0F 0x55 /r            ; s:SSE, t:LOGICAL_FP, w:RW|R, e:4
ANDNPD       ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x55 /r            ; s:SSE2, t:LOGICAL_FP, w:RW|R, e:4
ORPS         ; Vps,Wps     ;                         ;         NP 0x0F 0x56 /r            ; s:SSE, t:LOGICAL_FP, w:RW|R, e:4
ORPD         ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x56 /r            ; s:SSE2, t:LOGICAL_FP, w:RW|R, e:4
XORPS        ; Vps,Wps     ;                         ;         NP 0x0F 0x57 /r            ; s:SSE, t:LOGICAL_FP, w:RW|R, e:4
XORPD        ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x57 /r            ; s:SSE2, t:LOGICAL_FP, w:RW|R, e:4
ADDPS        ; Vps,Wps     ;                         ;         NP 0x0F 0x58 /r            ; s:SSE, t:SSE, w:RW|R, e:2
ADDPD        ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x58 /r            ; s:SSE2, t:SSE, w:RW|R, e:2
ADDSS        ; Vss,Wss     ;                         ;       0xF3 0x0F 0x58 /r            ; s:SSE, t:SSE, w:RW|R, e:3
ADDSD        ; Vsd,Wsd     ;                         ;       0xF2 0x0F 0x58 /r            ; s:SSE2, t:SSE, w:RW|R, e:3
MULPS        ; Vps,Wps     ;                         ;         NP 0x0F 0x59 /r            ; s:SSE, t:SSE, w:RW|R, e:2
MULPD        ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x59 /r            ; s:SSE2, t:SSE, w:RW|R, e:2
MULSS        ; Vss,Wss     ;                         ;       0xF3 0x0F 0x59 /r            ; s:SSE, t:SSE, w:RW|R, e:3
MULSD        ; Vsd,Wsd     ;                         ;       0xF2 0x0F 0x59 /r            ; s:SSE2, t:SSE, w:RW|R, e:3
CVTPS2PD     ; Vpd,Wq      ;                         ;         NP 0x0F 0x5A /r            ; s:SSE2, t:CONVERT, w:W|R, e:3
CVTPD2PS     ; Vps,Wpd     ;                         ;       0x66 0x0F 0x5A /r            ; s:SSE2, t:CONVERT, w:W|R, e:2
CVTSS2SD     ; Vsd,Wss     ;                         ;       0xF3 0x0F 0x5A /r            ; s:SSE2, t:CONVERT, w:W|R, e:3
CVTSD2SS     ; Vss,Wsd     ;                         ;       0xF2 0x0F 0x5A /r            ; s:SSE2, t:CONVERT, w:W|R, e:3
CVTDQ2PS     ; Vps,Wdq     ;                         ;         NP 0x0F 0x5B /r            ; s:SSE2, t:CONVERT, w:W|R, e:2
CVTPS2DQ     ; Vdq,Wps     ;                         ;       0x66 0x0F 0x5B /r            ; s:SSE2, t:CONVERT, w:W|R, e:2
CVTTPS2DQ    ; Vdq,Wps     ;                         ;       0xF3 0x0F 0x5B /r            ; s:SSE2, t:CONVERT, w:W|R, e:2
SUBPS        ; Vps,Wps     ;                         ;         NP 0x0F 0x5C /r            ; s:SSE, t:SSE, w:RW|R, e:2
SUBPD        ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x5C /r            ; s:SSE2, t:SSE, w:RW|R, e:2
SUBSS        ; Vss,Wss     ;                         ;       0xF3 0x0F 0x5C /r            ; s:SSE, t:SSE, w:RW|R, e:3
SUBSD        ; Vsd,Wsd     ;                         ;       0xF2 0x0F 0x5C /r            ; s:SSE2, t:SSE, w:RW|R, e:3
MINPS        ; Vps,Wps     ;                         ;         NP 0x0F 0x5D /r            ; s:SSE, t:SSE, w:RW|R, e:2
MINPD        ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x5D /r            ; s:SSE2, t:SSE, w:RW|R, e:2
MINSS        ; Vss,Wss     ;                         ;       0xF3 0x0F 0x5D /r            ; s:SSE, t:SSE, w:RW|R, e:3
MINSD        ; Vsd,Wsd     ;                         ;       0xF2 0x0F 0x5D /r            ; s:SSE2, t:SSE, w:RW|R, e:3
DIVPS        ; Vps,Wps     ;                         ;         NP 0x0F 0x5E /r            ; s:SSE, t:SSE, w:RW|R, e:2
DIVPD        ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x5E /r            ; s:SSE2, t:SSE, w:RW|R, e:2
DIVSS        ; Vss,Wss     ;                         ;       0xF3 0x0F 0x5E /r            ; s:SSE, t:SSE, w:RW|R, e:3
DIVSD        ; Vsd,Wsd     ;                         ;       0xF2 0x0F 0x5E /r            ; s:SSE2, t:SSE, w:RW|R, e:3
MAXPS        ; Vps,Wps     ;                         ;         NP 0x0F 0x5F /r            ; s:SSE, t:SSE, w:RW|R, e:2
MAXPD        ; Vpd,Wpd     ;                         ;       0x66 0x0F 0x5F /r            ; s:SSE2, t:SSE, w:RW|R, e:2
MAXSS        ; Vss,Wss     ;                         ;       0xF3 0x0F 0x5F /r            ; s:SSE, t:SSE, w:RW|R, e:3
MAXSD        ; Vsd,Wsd     ;                         ;       0xF2 0x0F 0x5F /r            ; s:SSE2, t:SSE, w:RW|R, e:3

# 0x60 - 0x6F
PUNPCKLBW    ; Pq,Qd       ;                         ;         NP 0x0F 0x60 /r            ; s:MMX, t:MMX, w:RW|R
PUNPCKLBW    ; Vx,Wx       ;                         ;       0x66 0x0F 0x60 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKLWD    ; Pq,Qd       ;                         ;         NP 0x0F 0x61 /r            ; s:MMX, t:MMX, w:RW|R
PUNPCKLWD    ; Vx,Wx       ;                         ;       0x66 0x0F 0x61 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKLDQ    ; Pq,Qd       ;                         ;         NP 0x0F 0x62 /r            ; s:MMX, t:MMX, w:RW|R
PUNPCKLDQ    ; Vx,Wx       ;                         ;       0x66 0x0F 0x62 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PACKSSWB     ; Pq,Qq       ;                         ;         NP 0x0F 0x63 /r            ; s:MMX, t:MMX, w:RW|R
PACKSSWB     ; Vx,Wx       ;                         ;       0x66 0x0F 0x63 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PCMPGTB      ; Pq,Qq       ;                         ;         NP 0x0F 0x64 /r            ; s:MMX, t:MMX, w:RW|R
PCMPGTB      ; Vx,Wx       ;                         ;       0x66 0x0F 0x64 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PCMPGTW      ; Pq,Qq       ;                         ;         NP 0x0F 0x65 /r            ; s:MMX, t:MMX, w:RW|R
PCMPGTW      ; Vx,Wx       ;                         ;       0x66 0x0F 0x65 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PCMPGTD      ; Pq,Qq       ;                         ;         NP 0x0F 0x66 /r            ; s:MMX, t:MMX, w:RW|R
PCMPGTD      ; Vx,Wx       ;                         ;       0x66 0x0F 0x66 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PACKUSWB     ; Pq,Qq       ;                         ;         NP 0x0F 0x67 /r            ; s:MMX, t:MMX, w:RW|R
PACKUSWB     ; Vx,Wx       ;                         ;       0x66 0x0F 0x67 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKHBW    ; Pq,Qq       ;                         ;         NP 0x0F 0x68 /r            ; s:MMX, t:MMX, w:RW|R
PUNPCKHBW    ; Vx,Wx       ;                         ;       0x66 0x0F 0x68 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKHWD    ; Pq,Qq       ;                         ;         NP 0x0F 0x69 /r            ; s:MMX, t:MMX, w:RW|R
PUNPCKHWD    ; Vx,Wx       ;                         ;       0x66 0x0F 0x69 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKHDQ    ; Pq,Qq       ;                         ;         NP 0x0F 0x6A /r            ; s:MMX, t:MMX, w:RW|R
PUNPCKHDQ    ; Vx,Wx       ;                         ;       0x66 0x0F 0x6A /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PACKSSDW     ; Pq,Qq       ;                         ;         NP 0x0F 0x6B /r            ; s:MMX, t:MMX, w:RW|R
PACKSSDW     ; Vx,Wx       ;                         ;       0x66 0x0F 0x6B /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKLQDQ   ; Vx,Wx       ;                         ;       0x66 0x0F 0x6C /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKHQDQ   ; Vx,Wx       ;                         ;       0x66 0x0F 0x6D /r            ; s:SSE2, t:SSE, w:RW|R, e:4
MOVD         ; Pq,Ey       ;                         ;         NP 0x0F 0x6E /r            ; s:MMX, t:DATAXFER, w:W|R
MOVQ         ; Pq,Ey       ;                         ;    rexw NP 0x0F 0x6E /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVD         ; Vdq,Ey      ;                         ;       0x66 0x0F 0x6E /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVQ         ; Vdq,Ey      ;                         ;  0x66 rexw 0x0F 0x6E /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVQ         ; Pq,Qq       ;                         ;         NP 0x0F 0x6F /r            ; s:MMX, t:DATAXFER, w:W|R
MOVDQA       ; Vx,Wx       ;                         ;       0x66 0x0F 0x6F /r            ; s:SSE2, t:DATAXFER, w:W|R, e:1
MOVDQU       ; Vx,Wx       ;                         ;       0xF3 0x0F 0x6F /r            ; s:SSE2, t:DATAXFER, w:W|R, e:4

# 0x70 - 0x7F
PSHUFW       ; Pq,Qq,Ib    ;                         ;         NP 0x0F 0x70 /r ib         ; s:MMX, t:MMX, w:W|R|R
PSHUFD       ; Vx,Wx,Ib    ;                         ;       0x66 0x0F 0x70 /r ib         ; s:SSE2, t:SSE, w:W|R|R, e:4
PSHUFHW      ; Vx,Wx,Ib    ;                         ;       0xF3 0x0F 0x70 /r ib         ; s:SSE2, t:SSE, w:W|R|R, e:4
PSHUFLW      ; Vx,Wx,Ib    ;                         ;       0xF2 0x0F 0x70 /r ib         ; s:SSE2, t:SSE, w:W|R|R, e:4
PSRLW        ; Nq,Ib       ;                         ;         NP 0x0F 0x71 /2:reg ib     ; s:MMX, t:MMX, w:RW|R
PSRLW        ; Ux,Ib       ;                         ;       0x66 0x0F 0x71 /2:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:4
PSRAW        ; Nq,Ib       ;                         ;         NP 0x0F 0x71 /4:reg ib     ; s:MMX, t:MMX, w:RW|R
PSRAW        ; Ux,Ib       ;                         ;       0x66 0x0F 0x71 /4:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:4
PSLLW        ; Nq,Ib       ;                         ;         NP 0x0F 0x71 /6:reg ib     ; s:MMX, t:MMX, w:RW|R
PSLLW        ; Ux,Ib       ;                         ;       0x66 0x0F 0x71 /6:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:4
PSRLD        ; Nq,Ib       ;                         ;         NP 0x0F 0x72 /2:reg ib     ; s:MMX, t:MMX, w:RW|R
PSRLD        ; Ux,Ib       ;                         ;       0x66 0x0F 0x72 /2:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:4
PSRAD        ; Nq,Ib       ;                         ;         NP 0x0F 0x72 /4:reg ib     ; s:MMX, t:MMX, w:RW|R
PSRAD        ; Ux,Ib       ;                         ;       0x66 0x0F 0x72 /4:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:4
PSLLD        ; Nq,Ib       ;                         ;         NP 0x0F 0x72 /6:reg ib     ; s:MMX, t:MMX, w:RW|R
PSLLD        ; Ux,Ib       ;                         ;       0x66 0x0F 0x72 /6:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:4
PSRLQ        ; Nq,Ib       ;                         ;         NP 0x0F 0x73 /2:reg ib     ; s:MMX, t:MMX, w:RW|R
PSRLQ        ; Ux,Ib       ;                         ;       0x66 0x0F 0x73 /2:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:4
PSRLDQ       ; Ux,Ib       ;                         ;       0x66 0x0F 0x73 /3:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:7
PSLLQ        ; Nq,Ib       ;                         ;         NP 0x0F 0x73 /6:reg ib     ; s:MMX, t:MMX, w:RW|R
PSLLQ        ; Ux,Ib       ;                         ;       0x66 0x0F 0x73 /6:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:4
