#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
VPSHUFB           ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:i 0x00 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:W|R|R|R
VBROADCASTI64X2   ; Vuv{K}{z},Mdq               ; n/a     ; evex m:2 p:1 l:x w:1 0x5A /r:mem        ; s:AVX512DQ, t:BROADCAST, a:NOL0, l:t2, e:E6, w:W|R|R
VBROADCASTI32X8   ; Voq{K}{z},Mqq               ; n/a     ; evex m:2 p:1 l:2 w:0 0x5B /r:mem        ; s:AVX512DQ, t:BROADCAST, l:t8, e:E6, w:W|R|R
VBROADCASTI64X4   ; Voq{K}{z},Mqq               ; n/a     ; evex m:2 p:1 l:2 w:1 0x5B /r:mem        ; s:AVX512F, t:BROADCAST, l:t4, e:E6, w:W|R|R

# 0x60 - 0x6F
VPEXPANDB         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:2 p:1 l:x w:0 0x62 /r            ; s:AVX512VBMI2, t:AVX512VBMI, l:t1s8, e:E4, w:W|R|R
VPEXPANDW         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:2 p:1 l:x w:1 0x62 /r            ; s:AVX512VBMI2, t:AVX512VBMI, l:t1s16, e:E4, w:W|R|R
VPCOMPRESSB       ; Wfv{K}{z},Vfv               ; n/a     ; evex m:2 p:1 l:x w:0 0x63 /r            ; s:AVX512VBMI2, t:AVX512VBMI, l:t1s8, a:NOMZ, e:E4, w:W|R|R
VPCOMPRESSW       ; Wfv{K}{z},Vfv               ; n/a     ; evex m:2 p:1 l:x w:1 0x63 /r            ; s:AVX512VBMI2, t:AVX512VBMI, l:t1s16, a:NOMZ, e:E4, w:W|R|R
VPBLENDMD         ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x64 /r            ; s:AVX512F, t:BLEND, l:fv, e:E4, w:W|R|R|R
VPBLENDMQ         ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x64 /r            ; s:AVX512F, t:BLEND, l:fv, e:E4, w:W|R|R|R
VBLENDMPS         ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x65 /r            ; s:AVX512F, t:BLEND, l:fv, e:E4, w:W|R|R|R
VBLENDMPD         ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x65 /r            ; s:AVX512F, t:BLEND, l:fv, e:E4, w:W|R|R|R
VPBLENDMB         ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:0 0x66 /r            ; s:AVX512BW, t:BLEND, l:fvm, e:E4, w:W|R|R|R
VPBLENDMW         ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:1 0x66 /r            ; s:AVX512BW, t:BLEND, l:fvm, e:E4, w:W|R|R|R

VP2INTERSECTD     ; rKq+1,Hfv,Wfv|B32           ; n/a     ; evex m:2 p:3 l:x w:0 0x68 /r            ; s:AVX512VP2INTERSECT, t:AVX512VP2INTERSECT, l:fv, e:E4NF, w:W|R|R
VP2INTERSECTQ     ; rKq+1,Hfv,Wfv|B64           ; n/a     ; evex m:2 p:3 l:x w:1 0x68 /r            ; s:AVX512VP2INTERSECT, t:AVX512VP2INTERSECT, l:fv, e:E4NF, w:W|R|R

# 0x70 - 0x7F
VPSHLDVW          ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:1 0x70 /r            ; s:AVX512VBMI2, t:AVX512VBMI, l:fvm, e:E4, w:RW|R|R|R
VPSHLDVD          ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x71 /r            ; s:AVX512VBMI2, t:AVX512VBMI, l:fv, e:E4, w:RW|R|R|R
VPSHLDVQ          ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x71 /r            ; s:AVX512VBMI2, t:AVX512VBMI, l:fv, e:E4, w:RW|R|R|R
VPSHRDVW          ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:1 0x72 /r            ; s:AVX512VBMI2, t:AVX512VBMI, l:fvm, e:E4, w:RW|R|R|R
VCVTNEPS2BF16     ; Vhv{K}{z},Wfv|B32           ; n/a     ; evex m:2 p:2 l:x w:0 0x72 /r            ; s:AVX512BF16, t:AVX512BF16, l:fv, e:E4, w:W|R|R
VCVTNE2PS2BF16    ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:3 l:x w:0 0x72 /r            ; s:AVX512BF16, t:AVX512BF16, l:fv, e:E4NF, w:W|R|R|R
VPSHRDVD          ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x73 /r            ; s:AVX512VBMI2, t:AVX512VBMI, l:fv, e:E4, w:RW|R|R|R
VPSHRDVQ          ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x73 /r            ; s:AVX512VBMI2, t:AVX512VBMI, l:fv, e:E4, w:RW|R|R|R

VPERMI2B          ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:0 0x75 /r            ; s:AVX512VBMI, t:AVX512VBMI, l:fvm, e:E4NFnb, w:RW|R|R|R
VPERMI2W          ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:1 0x75 /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:RW|R|R|R
VPERMI2D          ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x76 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:RW|R|R|R
VPERMI2Q          ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x76 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:RW|R|R|R
VPERMI2PS         ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x77 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:RW|R|R|R
VPERMI2PD         ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x77 /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:RW|R|R|R
VPBROADCASTB      ; Vfv{K}{z},Wb                ; n/a     ; evex m:2 p:1 l:x w:0 0x78 /r            ; s:AVX512BW, t:BROADCAST, l:t1s8, e:E6, w:W|R|R
VPBROADCASTW      ; Vfv{K}{z},Ww                ; n/a     ; evex m:2 p:1 l:x w:0 0x79 /r            ; s:AVX512BW, t:BROADCAST, l:t1s16, e:E6, w:W|R|R
VPBROADCASTB      ; Vfv{K}{z},Rb                ; n/a     ; evex m:2 p:1 l:x w:0 0x7A /r:reg        ; s:AVX512BW, t:BROADCAST, l:t1s8, e:E7NM, w:W|R|R
VPBROADCASTW      ; Vfv{K}{z},Rw                ; n/a     ; evex m:2 p:1 l:x w:0 0x7B /r:reg        ; s:AVX512BW, t:BROADCAST, l:t1s16, e:E7NM, w:W|R|R
VPBROADCASTD      ; Vfv{K}{z},Rd                ; n/a     ; evex m:2 p:1 l:x w:0 0x7C /r:reg        ; s:AVX512F, t:BROADCAST, l:t1s, e:E7NM, w:W|R|R, a:IWO64
VPBROADCASTQ      ; Vfv{K}{z},Rq                ; n/a     ; evex m:2 p:1 l:x w:1 0x7C /r:reg        ; s:AVX512F, t:BROADCAST, l:t1s, e:E7NM, w:W|R|R, a:IWO64
VPERMT2B          ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:0 0x7D /r            ; s:AVX512VBMI, t:AVX512VBMI, l:fvm, e:E4NFnb, w:RW|R|R|R
VPERMT2W          ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:1 0x7D /r            ; s:AVX512BW, t:AVX512, l:fvm, e:E4NFnb, w:RW|R|R|R
VPERMT2D          ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x7E /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:RW|R|R|R
VPERMT2Q          ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x7E /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:RW|R|R|R
VPERMT2PS         ; Vfv{K}{z},Hfv,Wfv|B32       ; n/a     ; evex m:2 p:1 l:x w:0 0x7F /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:RW|R|R|R
VPERMT2PD         ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x7F /r            ; s:AVX512F, t:AVX512, l:fv, e:E4NF, w:RW|R|R|R

# 0x80 - 0x8F
VPMULTISHIFTQB    ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0x83 /r            ; s:AVX512VBMI, t:AVX512VBMI, l:fv, e:E4NF, w:W|R|R|R
VEXPANDPS         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:2 p:1 l:x w:0 0x88 /r            ; s:AVX512F, t:EXPAND, l:t1s, e:E4nb, w:W|R|R
VEXPANDPD         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:2 p:1 l:x w:1 0x88 /r            ; s:AVX512F, t:EXPAND, l:t1s, e:E4nb, w:W|R|R
VPEXPANDD         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:2 p:1 l:x w:0 0x89 /r            ; s:AVX512F, t:EXPAND, l:t1s, e:E4nb, w:W|R|R
VPEXPANDQ         ; Vfv{K}{z},Wfv               ; n/a     ; evex m:2 p:1 l:x w:1 0x89 /r            ; s:AVX512F, t:EXPAND, l:t1s, e:E4nb, w:W|R|R
VCOMPRESSPS       ; Wfv{K}{z},Vfv               ; n/a     ; evex m:2 p:1 l:x w:0 0x8A /r            ; s:AVX512F, t:COMPRESS, a:NOMZ, l:t1s, e:E4nb, w:W|R|R
VCOMPRESSPD       ; Wfv{K}{z},Vfv               ; n/a     ; evex m:2 p:1 l:x w:1 0x8A /r            ; s:AVX512F, t:COMPRESS, a:NOMZ, l:t1s, e:E4nb, w:W|R|R
VPCOMPRESSD       ; Wfv{K}{z},Vfv               ; n/a     ; evex m:2 p:1 l:x w:0 0x8B /r            ; s:AVX512F, t:COMPRESS, a:NOMZ, l:t1s, e:E4nb, w:W|R|R
VPCOMPRESSQ       ; Wfv{K}{z},Vfv               ; n/a     ; evex m:2 p:1 l:x w:1 0x8B /r            ; s:AVX512F, t:COMPRESS, a:NOMZ, l:t1s, e:E4nb, w:W|R|R
VPERMB            ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:0 0x8D /r            ; s:AVX512VBMI, t:AVX512VBMI, a:NOMZ, l:fvm, e:E4NFnb, w:W|R|R|R
VPERMW            ; Vfv{K}{z},Hfv,Wfv           ; n/a     ; evex m:2 p:1 l:x w:1 0x8D /r            ; s:AVX512BW, t:AVX512, l:fv, a:NOMZ, l:fvm, e:E4NFnb, w:W|R|R|R
VPSHUFBITQMB      ; rK{K},Hfv,Wfv               ; n/a     ; evex m:2 p:1 l:x w:0 0x8F /r            ; s:AVX512BITALG, t:AVX512VBMI, l:fvm, w:W|R|R|R

# 0x90 - 0x9F
VPGATHERDD        ; Vfv{K},Mvm32n               ; n/a     ; evex m:2 p:1 l:x w:0 0x90 /r:mem vsib   ; s:AVX512F, t:GATHER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VPGATHERDQ        ; Vfv{K},Mvm32h               ; n/a     ; evex m:2 p:1 l:x w:1 0x90 /r:mem vsib   ; s:AVX512F, t:GATHER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VPGATHERQD        ; Vhv{K},Mvm64n               ; n/a     ; evex m:2 p:1 l:x w:0 0x91 /r:mem vsib   ; s:AVX512F, t:GATHER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VPGATHERQQ        ; Vfv{K},Mvm64n               ; n/a     ; evex m:2 p:1 l:x w:1 0x91 /r:mem vsib   ; s:AVX512F, t:GATHER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VGATHERDPS        ; Vfv{K},Mvm32n               ; n/a     ; evex m:2 p:1 l:x w:0 0x92 /r:mem vsib   ; s:AVX512F, t:GATHER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VGATHERDPD        ; Vfv{K},Mvm32h               ; n/a     ; evex m:2 p:1 l:x w:1 0x92 /r:mem vsib   ; s:AVX512F, t:GATHER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VGATHERQPS        ; Vhv{K},Mvm64n               ; n/a     ; evex m:2 p:1 l:x w:0 0x93 /r:mem vsib   ; s:AVX512F, t:GATHER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VGATHERQPD        ; Vfv{K},Mvm64n               ; n/a     ; evex m:2 p:1 l:x w:1 0x93 /r:mem vsib   ; s:AVX512F, t:GATHER, a:MMASK, l:t1s, e:E12, w:W|R|RW

VFMADDSUB132PS    ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0x96 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMADDSUB132PD    ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0x96 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMSUBADD132PS    ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0x97 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMSUBADD132PD    ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0x97 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMADD132PS       ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0x98 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMADD132PD       ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0x98 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMADD132SS       ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0x99 /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFMADD132SD       ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0x99 /r            ; s:AVX512F, t:VFMA, l:t1s, e:E2, w:RW|R|R|R
VFMSUB132PS       ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0x9A /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMSUB132PD       ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0x9A /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
V4FMADDPS         ; Voq{K}{z},Hoq+3,Mdq         ; n/a     ; evex m:2 p:3 l:2 w:0 0x9A /r:mem        ; s:AVX5124FMAPS, t:VFMAPS, l:t1_4x, e:E2, w:RW|R|R|R
VFMSUB132SS       ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0x9B /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFMSUB132SD       ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0x9B /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
V4FMADDSS         ; Vdq{K}{z},Hdq+3,Mdq         ; n/a     ; evex m:2 p:3 l:i w:0 0x9B /r:mem        ; s:AVX5124FMAPS, t:VFMAPS, e:E3, l:t1_4x, w:RW|R|R|R
VFNMADD132PS      ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0x9C /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFNMADD132PD      ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0x9C /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFNMADD132SS      ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0x9D /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFNMADD132SD      ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0x9D /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFNMSUB132PS      ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0x9E /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFNMSUB132PD      ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0x9E /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFNMSUB132SS      ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0x9F /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFNMSUB132SD      ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0x9F /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R

# 0xA0 - 0xAF
VPSCATTERDD       ; Mvm32n{K},Vfv               ; n/a     ; evex m:2 p:1 l:x w:0 0xA0 /r:mem vsib   ; s:AVX512F, t:SCATTER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VPSCATTERDQ       ; Mvm32h{K},Vfv               ; n/a     ; evex m:2 p:1 l:x w:1 0xA0 /r:mem vsib   ; s:AVX512F, t:SCATTER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VPSCATTERQD       ; Mvm64n{K},Vhv               ; n/a     ; evex m:2 p:1 l:x w:0 0xA1 /r:mem vsib   ; s:AVX512F, t:SCATTER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VPSCATTERQQ       ; Mvm64n{K},Vfv               ; n/a     ; evex m:2 p:1 l:x w:1 0xA1 /r:mem vsib   ; s:AVX512F, t:SCATTER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VSCATTERDPS       ; Mvm32n{K},Vfv               ; n/a     ; evex m:2 p:1 l:x w:0 0xA2 /r:mem vsib   ; s:AVX512F, t:SCATTER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VSCATTERDPD       ; Mvm32h{K},Vfv               ; n/a     ; evex m:2 p:1 l:x w:1 0xA2 /r:mem vsib   ; s:AVX512F, t:SCATTER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VSCATTERQPS       ; Mvm64n{K},Vhv               ; n/a     ; evex m:2 p:1 l:x w:0 0xA3 /r:mem vsib   ; s:AVX512F, t:SCATTER, a:MMASK, l:t1s, e:E12, w:W|R|RW
VSCATTERQPD       ; Mvm64n{K},Vfv               ; n/a     ; evex m:2 p:1 l:x w:1 0xA3 /r:mem vsib   ; s:AVX512F, t:SCATTER, a:MMASK, l:t1s, e:E12, w:W|R|RW

VFMADDSUB213PS    ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0xA6 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMADDSUB213PD    ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0xA6 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMSUBADD213PS    ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0xA7 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMSUBADD213PD    ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0xA7 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMADD213PS       ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0xA8 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMADD213PD       ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0xA8 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMADD213SS       ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0xA9 /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFMADD213SD       ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0xA9 /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFMSUB213PS       ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0xAA /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMSUB213PD       ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0xAA /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
V4FNMADDPS        ; Voq{K}{z},Hoq+3,Mdq         ; n/a     ; evex m:2 p:3 l:2 w:0 0xAA /r:mem        ; s:AVX5124FMAPS, t:VFMAPS, l:t1_4x, e:E2, w:RW|R|R|R
VFMSUB213SS       ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0xAB /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFMSUB213SD       ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0xAB /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
V4FNMADDSS        ; Vdq{K}{z},Hdq+3,Mdq         ; n/a     ; evex m:2 p:3 l:i w:0 0xAB /r:mem        ; s:AVX5124FMAPS, t:VFMAPS, l:t1_4x, e:E2, w:RW|R|R|R
VFNMADD213PS      ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0xAC /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFNMADD213PD      ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0xAC /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFNMADD213SS      ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0xAD /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFNMADD213SD      ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0xAD /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFNMSUB213PS      ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0xAE /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFNMSUB213PD      ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0xAE /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFNMSUB213SS      ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0xAF /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFNMSUB213SD      ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0xAF /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R

# 0xB0 - 0xBF
VPMADD52LUQ       ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0xB4 /r            ; s:AVX512IFMA, t:IFMA, l:fv, e:E4, w:RW|R|R|R
VPMADD52HUQ       ; Vfv{K}{z},Hfv,Wfv|B64       ; n/a     ; evex m:2 p:1 l:x w:1 0xB5 /r            ; s:AVX512IFMA, t:IFMA, l:fv, e:E4, w:RW|R|R|R
VFMADDSUB231PS    ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0xB6 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMADDSUB231PD    ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0xB6 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMSUBADD231PS    ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0xB7 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMSUBADD231PD    ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0xB7 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMADD231PS       ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0xB8 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMADD231PD       ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0xB8 /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMADD231SS       ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0xB9 /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFMADD231SD       ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0xB9 /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFMSUB231PS       ; Vfv{K}{z},Hfv,Wfv|B32{er}   ; n/a     ; evex m:2 p:1 l:x w:0 0xBA /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMSUB231PD       ; Vfv{K}{z},Hfv,Wfv|B64{er}   ; n/a     ; evex m:2 p:1 l:x w:1 0xBA /r            ; s:AVX512F, t:VFMA, l:fv, e:E2, w:RW|R|R|R
VFMSUB231SS       ; Vdq{K}{z},Hdq,Wss{er}       ; n/a     ; evex m:2 p:1 l:i w:0 0xBB /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
VFMSUB231SD       ; Vdq{K}{z},Hdq,Wsd{er}       ; n/a     ; evex m:2 p:1 l:i w:1 0xBB /r            ; s:AVX512F, t:VFMA, l:t1s, e:E3, w:RW|R|R|R
