#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
SLDT         ; Mw          ; LDTR                    ;            0x0F 0x00 /0:mem        ; s:I286PROT, t:SYSTEM, w:W|R, m:NOREAL|NOSGX
BNDCN        ; rBl,Ey      ; n/a                     ;   mpx 0xF2 0x0F 0x1B /r            ; s:MPX, t:MPX, w:R|R, a:AG|F64|I67

# CLDEMOTE
CLDEMOTE     ; Mb          ; n/a                     ;    cldm NP 0x0F 0x1C /0:mem        ; s:CLDEMOTE, t:CLDEMOTE, w:P
NOP          ; Ev,Gv       ; n/a                     ;  cldm 0x66 0x0F 0x1C /0:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;  cldm 0xF3 0x0F 0x1C /0:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;  cldm 0xF2 0x0F 0x1C /0:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;       cldm 0x0F 0x1C /0:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;       cldm 0x0F 0x1C /1            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;       cldm 0x0F 0x1C /2            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;       cldm 0x0F 0x1C /3            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;       cldm 0x0F 0x1C /4            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;       cldm 0x0F 0x1C /5            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;       cldm 0x0F 0x1C /6            ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Ev,Gv       ; n/a                     ;       cldm 0x0F 0x1C /7            ; s:PPRO, t:WIDENOP, w:N|N

# CET
NOP          ; Mv,Gv       ; n/a                     ;        cet 0x0F 0x1E /r:mem        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /0:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /1:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;   cet rexw 0x0F 0x1E /1:reg        ; s:PPRO, t:WIDENOP, w:N|N
RDSSPD       ; Rd          ; SSP                     ;  cet a0xF3 0x0F 0x1E /1:reg        ; s:CET_SS, t:CET, c:RSSSP, w:W|R
RDSSPQ       ; Rq          ; SSP                  ;cet a0xF3 rexw 0x0F 0x1E /1:reg        ; s:CET_SS, t:CET, c:RSSSP, w:W|R
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /2:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /3:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /4:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /5:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /6:reg        ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /0xF8         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /0xF9         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /0xFA         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /0xFB         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /0xFC         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /0xFD         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /0xFE         ; s:PPRO, t:WIDENOP, w:N|N
NOP          ; Rv,Gv       ; n/a                     ;        cet 0x0F 0x1E /0xFF         ; s:PPRO, t:WIDENOP, w:N|N
ENDBR64      ; n/a         ; n/a                     ;  cet a0xF3 0x0F 0x1E /0xFA         ; s:CET_IBT, t:CET, c:ENDBR
ENDBR32      ; n/a         ; n/a                     ;  cet a0xF3 0x0F 0x1E /0xFB         ; s:CET_IBT, t:CET, c:ENDBR


# 0x20 - 0x2F
MOV          ; Ry,Cy       ; n/a                     ;            0x0F 0x20 /r            ; s:I86, t:DATAXFER, c:MOV_CR, w:W|R, a:LOCKSP|MFR|F64, m:KERNEL|NOV86
MOV          ; Ry,Dy       ; n/a                     ;            0x0F 0x21 /r            ; s:I86, t:DATAXFER, c:MOV_DR, w:W|R, a:MFR|F64, m:KERNEL|NOV86
MOV          ; Cy,Ry       ; n/a                     ;            0x0F 0x22 /r            ; s:I86, t:DATAXFER, c:MOV_CR, w:W|R, a:LOCKSP|MFR|F64|SERIAL, m:KERNEL|NOV86
MOV          ; Dy,Ry       ; n/a                     ;            0x0F 0x23 /r            ; s:I86, t:DATAXFER, c:MOV_DR, w:W|R, a:MFR|F64|SERIAL, m:KERNEL|NOV86
MOV          ; Ry,Ty       ; n/a                     ;            0x0F 0x24 /r            ; s:I86, t:DATAXFER, c:MOV_TR, w:W|R, a:MFR|F64, m:KERNEL|NOV86|NO64
MOV          ; Ty,Ry       ; n/a                     ;            0x0F 0x26 /r            ; s:I86, t:DATAXFER, c:MOV_TR, w:W|R, a:MFR|F64, m:KERNEL|NOV86|NO64
MOVAPS       ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x28 /r            ; s:SSE, t:DATAXFER, w:W|R, e:1
MOVAPD       ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x28 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:1
MOVAPS       ; Wps,Vps     ; n/a                     ;         NP 0x0F 0x29 /r            ; s:SSE, t:DATAXFER, w:W|R, e:1
MOVAPD       ; Wpd,Vpd     ; n/a                     ;       0x66 0x0F 0x29 /r            ; s:SSE2, t:DATAXFER, w:W|R, e:1
CVTPI2PS     ; Vq,Qq       ; n/a                     ;         NP 0x0F 0x2A /r            ; s:SSE, t:CONVERT, w:W|R
CVTPI2PD     ; Vpd,Qq      ; n/a                     ;       0x66 0x0F 0x2A /r            ; s:SSE2, t:CONVERT, w:W|R
CVTSI2SS     ; Vss,Ey      ; n/a                     ;       0xF3 0x0F 0x2A /r            ; s:SSE, t:CONVERT, w:W|R, e:3
CVTSI2SD     ; Vsd,Ey      ; n/a                     ;       0xF2 0x0F 0x2A /r            ; s:SSE2, t:CONVERT, w:W|R, e:3
MOVNTPS      ; Mps,Vps     ; n/a                     ;         NP 0x0F 0x2B /r:mem        ; s:SSE, t:DATAXFER, w:W|R, e:1
MOVNTPD      ; Mpd,Vpd     ; n/a                     ;       0x66 0x0F 0x2B /r:mem        ; s:SSE2, t:DATAXFER, w:W|R, e:1
MOVNTSS      ; Mss,Vss     ; n/a                     ;       0xF3 0x0F 0x2B /r:mem        ; s:SSE4A, t:DATAXFER, w:W|R
MOVNTSD      ; Msd,Vsd     ; n/a                     ;       0xF2 0x0F 0x2B /r:mem        ; s:SSE4A, t:DATAXFER, w:W|R
CVTTPS2PI    ; Pq,Wq       ; n/a                     ;         NP 0x0F 0x2C /r            ; s:SSE, t:CONVERT, w:W|R
CVTTPD2PI    ; Pq,Wpd      ; n/a                     ;       0x66 0x0F 0x2C /r            ; s:SSE2, t:CONVERT, w:W|R
CVTTSS2SI    ; Gy,Wss      ; n/a                     ;       0xF3 0x0F 0x2C /r            ; s:SSE, t:CONVERT, w:W|R, e:3
CVTTSD2SI    ; Gy,Wsd      ; n/a                     ;       0xF2 0x0F 0x2C /r            ; s:SSE2, t:CONVERT, w:W|R, e:3
CVTPS2PI     ; Pq,Wq       ; n/a                     ;         NP 0x0F 0x2D /r            ; s:SSE, t:CONVERT, w:W|R
CVTPD2PI     ; Pq,Wpd      ; n/a                     ;       0x66 0x0F 0x2D /r            ; s:SSE2, t:CONVERT, w:W|R
CVTSS2SI     ; Gy,Wss      ; n/a                     ;       0xF3 0x0F 0x2D /r            ; s:SSE, t:CONVERT, w:W|R, e:3
CVTSD2SI     ; Gy,Wsd      ; n/a                     ;       0xF2 0x0F 0x2D /r            ; s:SSE2, t:CONVERT, w:W|R, e:3
UCOMISS      ; Vss,Wss     ; Fv                      ;         NP 0x0F 0x2E /r            ; s:SSE, t:SSE, w:R|R|W, f:COMIS
UCOMISD      ; Vsd,Wsd     ; Fv                      ;       0x66 0x0F 0x2E /r            ; s:SSE2, t:SSE2, w:R|R|W, f:COMIS, e:3
COMISS       ; Vss,Wss     ; Fv                      ;         NP 0x0F 0x2F /r            ; s:SSE, t:SSE, w:R|R|W, f:COMIS, e:3
COMISD       ; Vsd,Wsd     ; Fv                      ;       0x66 0x0F 0x2F /r            ; s:SSE2, t:SSE2, w:R|R|W, f:COMIS, e:3

# 0x30 - 0x3F
WRMSR        ; n/a         ; EAX,EDX,ECX,MSR         ;            0x0F 0x30               ; s:PENTIUMREAL, t:SYSTEM, w:R|R|R|W, a:SERIAL, m:KERNEL|NOV86, i:MSR
RDTSC        ; n/a         ; EAX,EDX,TSC             ;            0x0F 0x31               ; s:PENTIUMREAL, t:SYSTEM, w:W|W|R
RDMSR        ; n/a         ; EAX,EDX,ECX,MSR         ;            0x0F 0x32               ; s:PENTIUMREAL, t:SYSTEM, w:W|W|R|R, m:KERNEL|NOV86, i:MSR
RDPMC        ; n/a         ; EAX,EDX,ECX,MSR         ;            0x0F 0x33               ; s:RDPMC, t:SYSTEM, w:W|W|R|R, m:NOSGX
SYSENTER     ; n/a         ; SCS,SESP,SEIP,SS,sSP,CS,rIP,Fv,SSP ; 0x0F 0x34               ; s:PPRO, t:SYSCALL, w:R|R|R|W|W|W|W|W|RW, a:CETT, i:SEP, f:IF=0, m:NOREAL|NOSGX
SYSEXIT      ; n/a         ; SS,sSP,CS,rIP,SSP       ;            0x0F 0x35               ; s:PPRO, t:SYSRET, w:W|W|W|W|W|W, a:F64, i:SEP, m:KERNEL|NOREAL
RDSHR        ; Ed          ; n/a                     ;      cyrix 0x0F 0x36 /r            ; s:CYRIX, t:SYSTEM, w:R
GETSEC       ; n/a         ; EAX,EBX                 ;         NP 0x0F 0x37               ; s:SMX, t:SYSTEM, w:RCW|R, m:KERNEL|NOREAL|NOSGX
WRSHR        ; Ed          ; n/a                     ;      cyrix 0x0F 0x37 /r            ; s:CYRIX, t:SYSTEM, w:W
DMINT        ; n/a         ; n/a                     ;            0x0F 0x39               ; s:CYRIX, t:SYSTEM, m:NO64
CPU_WRITE    ; n/a         ; n/a                     ;            0x0F 0x3C               ; s:CYRIX, t:SYSTEM
CPU_READ     ; n/a         ; n/a                     ;            0x0F 0x3D               ; s:CYRIX, t:SYSTEM
ALTINST      ; n/a         ; n/a                     ;            0x0F 0x3F               ; s:CYRIX, t:SYSTEM

# 0x40 - 0x4F
CMOVO        ; Gv,Ev       ; Fv                      ;            0x0F 0x40 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CO,   a:COND
CMOVNO       ; Gv,Ev       ; Fv                      ;            0x0F 0x41 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNO,  a:COND
CMOVC        ; Gv,Ev       ; Fv                      ;            0x0F 0x42 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CC,   a:COND
CMOVNC       ; Gv,Ev       ; Fv                      ;            0x0F 0x43 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNC,  a:COND
CMOVZ        ; Gv,Ev       ; Fv                      ;            0x0F 0x44 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CZ,   a:COND
CMOVNZ       ; Gv,Ev       ; Fv                      ;            0x0F 0x45 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNZ,  a:COND
CMOVBE       ; Gv,Ev       ; Fv                      ;            0x0F 0x46 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CBE,  a:COND
CMOVNBE      ; Gv,Ev       ; Fv                      ;            0x0F 0x47 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNBE, a:COND
CMOVS        ; Gv,Ev       ; Fv                      ;            0x0F 0x48 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CS,   a:COND
CMOVNS       ; Gv,Ev       ; Fv                      ;            0x0F 0x49 /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNS,  a:COND
CMOVP        ; Gv,Ev       ; Fv                      ;            0x0F 0x4A /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CP,   a:COND
CMOVNP       ; Gv,Ev       ; Fv                      ;            0x0F 0x4B /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNP,  a:COND
CMOVL        ; Gv,Ev       ; Fv                      ;            0x0F 0x4C /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CL,   a:COND
CMOVNL       ; Gv,Ev       ; Fv                      ;            0x0F 0x4D /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNL,  a:COND
CMOVLE       ; Gv,Ev       ; Fv                      ;            0x0F 0x4E /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CLE,  a:COND
CMOVNLE      ; Gv,Ev       ; Fv                      ;            0x0F 0x4F /r            ; s:PPRO, t:CMOV, c:CMOVcc, w:CW|R|R, i:CMOV, f:CNLE, a:COND

# 0x50 - 0x5F
# Note: for MOVMSKPS & MOVMSKPD, the Intel doc says the destination reg is y (32 or 64 bit).
MOVMSKPS     ; Gy,Ups      ; n/a                     ;         NP 0x0F 0x50 /r:reg        ; s:SSE, t:DATAXFER, w:W|R, e:7, a:D64
MOVMSKPD     ; Gy,Upd      ; n/a                     ;       0x66 0x0F 0x50 /r:reg        ; s:SSE2, t:DATAXFER, w:W|R, e:7, a:D64
SQRTPS       ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x51 /r            ; s:SSE, t:SSE, w:W|R, e:2
SQRTPD       ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x51 /r            ; s:SSE2, t:SSE, w:W|R, e:2
SQRTSS       ; Vss,Wss     ; n/a                     ;       0xF3 0x0F 0x51 /r            ; s:SSE, t:SSE, w:W|R, e:3
SQRTSD       ; Vsd,Wsd     ; n/a                     ;       0xF2 0x0F 0x51 /r            ; s:SSE2, t:SSE, w:W|R, e:3
RSQRTPS      ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x52 /r            ; s:SSE, t:SSE, w:W|R, e:4
RSQRTSS      ; Vss,Wss     ; n/a                     ;       0xF3 0x0F 0x52 /r            ; s:SSE, t:SSE, w:W|R, e:5
RCPPS        ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x53 /r            ; s:SSE, t:SSE, w:W|R, e:4
RCPSS        ; Vss,Wss     ; n/a                     ;       0xF3 0x0F 0x53 /r            ; s:SSE, t:SSE, w:W|R, e:5
ANDPS        ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x54 /r            ; s:SSE, t:LOGICAL_FP, w:RW|R, e:4
ANDPD        ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x54 /r            ; s:SSE2, t:LOGICAL_FP, w:RW|R, e:4
ANDNPS       ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x55 /r            ; s:SSE, t:LOGICAL_FP, w:RW|R, e:4
ANDNPD       ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x55 /r            ; s:SSE2, t:LOGICAL_FP, w:RW|R, e:4
ORPS         ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x56 /r            ; s:SSE, t:LOGICAL_FP, w:RW|R, e:4
ORPD         ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x56 /r            ; s:SSE2, t:LOGICAL_FP, w:RW|R, e:4
XORPS        ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x57 /r            ; s:SSE, t:LOGICAL_FP, w:RW|R, e:4
XORPD        ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x57 /r            ; s:SSE2, t:LOGICAL_FP, w:RW|R, e:4
ADDPS        ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x58 /r            ; s:SSE, t:SSE, w:RW|R, e:2
ADDPD        ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x58 /r            ; s:SSE2, t:SSE, w:RW|R, e:2
ADDSS        ; Vss,Wss     ; n/a                     ;       0xF3 0x0F 0x58 /r            ; s:SSE, t:SSE, w:RW|R, e:3
ADDSD        ; Vsd,Wsd     ; n/a                     ;       0xF2 0x0F 0x58 /r            ; s:SSE2, t:SSE, w:RW|R, e:3
MULPS        ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x59 /r            ; s:SSE, t:SSE, w:RW|R, e:2
MULPD        ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x59 /r            ; s:SSE2, t:SSE, w:RW|R, e:2
MULSS        ; Vss,Wss     ; n/a                     ;       0xF3 0x0F 0x59 /r            ; s:SSE, t:SSE, w:RW|R, e:3
MULSD        ; Vsd,Wsd     ; n/a                     ;       0xF2 0x0F 0x59 /r            ; s:SSE2, t:SSE, w:RW|R, e:3
CVTPS2PD     ; Vpd,Wq      ; n/a                     ;         NP 0x0F 0x5A /r            ; s:SSE2, t:CONVERT, w:W|R, e:3
CVTPD2PS     ; Vps,Wpd     ; n/a                     ;       0x66 0x0F 0x5A /r            ; s:SSE2, t:CONVERT, w:W|R, e:2
CVTSS2SD     ; Vsd,Wss     ; n/a                     ;       0xF3 0x0F 0x5A /r            ; s:SSE2, t:CONVERT, w:W|R, e:3
CVTSD2SS     ; Vss,Wsd     ; n/a                     ;       0xF2 0x0F 0x5A /r            ; s:SSE2, t:CONVERT, w:W|R, e:3
CVTDQ2PS     ; Vps,Wdq     ; n/a                     ;         NP 0x0F 0x5B /r            ; s:SSE2, t:CONVERT, w:W|R, e:2
CVTPS2DQ     ; Vdq,Wps     ; n/a                     ;       0x66 0x0F 0x5B /r            ; s:SSE2, t:CONVERT, w:W|R, e:2
CVTTPS2DQ    ; Vdq,Wps     ; n/a                     ;       0xF3 0x0F 0x5B /r            ; s:SSE2, t:CONVERT, w:W|R, e:2
SUBPS        ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x5C /r            ; s:SSE, t:SSE, w:RW|R, e:2
SUBPD        ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x5C /r            ; s:SSE2, t:SSE, w:RW|R, e:2
SUBSS        ; Vss,Wss     ; n/a                     ;       0xF3 0x0F 0x5C /r            ; s:SSE, t:SSE, w:RW|R, e:3
SUBSD        ; Vsd,Wsd     ; n/a                     ;       0xF2 0x0F 0x5C /r            ; s:SSE2, t:SSE, w:RW|R, e:3
MINPS        ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x5D /r            ; s:SSE, t:SSE, w:RW|R, e:2
MINPD        ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x5D /r            ; s:SSE2, t:SSE, w:RW|R, e:2
MINSS        ; Vss,Wss     ; n/a                     ;       0xF3 0x0F 0x5D /r            ; s:SSE, t:SSE, w:RW|R, e:3
MINSD        ; Vsd,Wsd     ; n/a                     ;       0xF2 0x0F 0x5D /r            ; s:SSE2, t:SSE, w:RW|R, e:3
DIVPS        ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x5E /r            ; s:SSE, t:SSE, w:RW|R, e:2
DIVPD        ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x5E /r            ; s:SSE2, t:SSE, w:RW|R, e:2
DIVSS        ; Vss,Wss     ; n/a                     ;       0xF3 0x0F 0x5E /r            ; s:SSE, t:SSE, w:RW|R, e:3
DIVSD        ; Vsd,Wsd     ; n/a                     ;       0xF2 0x0F 0x5E /r            ; s:SSE2, t:SSE, w:RW|R, e:3
MAXPS        ; Vps,Wps     ; n/a                     ;         NP 0x0F 0x5F /r            ; s:SSE, t:SSE, w:RW|R, e:2
MAXPD        ; Vpd,Wpd     ; n/a                     ;       0x66 0x0F 0x5F /r            ; s:SSE2, t:SSE, w:RW|R, e:2
MAXSS        ; Vss,Wss     ; n/a                     ;       0xF3 0x0F 0x5F /r            ; s:SSE, t:SSE, w:RW|R, e:3
MAXSD        ; Vsd,Wsd     ; n/a                     ;       0xF2 0x0F 0x5F /r            ; s:SSE2, t:SSE, w:RW|R, e:3

# 0x60 - 0x6F
PUNPCKLBW    ; Pq,Qd       ; n/a                     ;         NP 0x0F 0x60 /r            ; s:MMX, t:MMX, w:RW|R
PUNPCKLBW    ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x60 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKLWD    ; Pq,Qd       ; n/a                     ;         NP 0x0F 0x61 /r            ; s:MMX, t:MMX, w:RW|R
PUNPCKLWD    ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x61 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKLDQ    ; Pq,Qd       ; n/a                     ;         NP 0x0F 0x62 /r            ; s:MMX, t:MMX, w:RW|R
PUNPCKLDQ    ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x62 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PACKSSWB     ; Pq,Qq       ; n/a                     ;         NP 0x0F 0x63 /r            ; s:MMX, t:MMX, w:RW|R
PACKSSWB     ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x63 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PCMPGTB      ; Pq,Qq       ; n/a                     ;         NP 0x0F 0x64 /r            ; s:MMX, t:MMX, w:RW|R
PCMPGTB      ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x64 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PCMPGTW      ; Pq,Qq       ; n/a                     ;         NP 0x0F 0x65 /r            ; s:MMX, t:MMX, w:RW|R
PCMPGTW      ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x65 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PCMPGTD      ; Pq,Qq       ; n/a                     ;         NP 0x0F 0x66 /r            ; s:MMX, t:MMX, w:RW|R
PCMPGTD      ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x66 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PACKUSWB     ; Pq,Qq       ; n/a                     ;         NP 0x0F 0x67 /r            ; s:MMX, t:MMX, w:RW|R
PACKUSWB     ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x67 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKHBW    ; Pq,Qq       ; n/a                     ;         NP 0x0F 0x68 /r            ; s:MMX, t:MMX, w:RW|R
PUNPCKHBW    ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x68 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKHWD    ; Pq,Qq       ; n/a                     ;         NP 0x0F 0x69 /r            ; s:MMX, t:MMX, w:RW|R
PUNPCKHWD    ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x69 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKHDQ    ; Pq,Qq       ; n/a                     ;         NP 0x0F 0x6A /r            ; s:MMX, t:MMX, w:RW|R
PUNPCKHDQ    ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x6A /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PACKSSDW     ; Pq,Qq       ; n/a                     ;         NP 0x0F 0x6B /r            ; s:MMX, t:MMX, w:RW|R
PACKSSDW     ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x6B /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKLQDQ   ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x6C /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PUNPCKHQDQ   ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x6D /r            ; s:SSE2, t:SSE, w:RW|R, e:4
MOVD         ; Pq,Ey       ; n/a                     ;         NP 0x0F 0x6E /r            ; s:MMX, t:DATAXFER, w:W|R
MOVQ         ; Pq,Ey       ; n/a                     ;    rexw NP 0x0F 0x6E /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVD         ; Vdq,Ey      ; n/a                     ;       0x66 0x0F 0x6E /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVQ         ; Vdq,Ey      ; n/a                     ;  0x66 rexw 0x0F 0x6E /r            ; s:SSE2, t:DATAXFER, w:W|R, e:5
MOVQ         ; Pq,Qq       ; n/a                     ;         NP 0x0F 0x6F /r            ; s:MMX, t:DATAXFER, w:W|R
MOVDQA       ; Vx,Wx       ; n/a                     ;       0x66 0x0F 0x6F /r            ; s:SSE2, t:DATAXFER, w:W|R, e:1
MOVDQU       ; Vx,Wx       ; n/a                     ;       0xF3 0x0F 0x6F /r            ; s:SSE2, t:DATAXFER, w:W|R, e:4

# 0x70 - 0x7F
PSHUFW       ; Pq,Qq,Ib    ; n/a                     ;         NP 0x0F 0x70 /r ib         ; s:MMX, t:MMX, w:W|R|R
PSHUFD       ; Vx,Wx,Ib    ; n/a                     ;       0x66 0x0F 0x70 /r ib         ; s:SSE2, t:SSE, w:W|R|R, e:4
PSHUFHW      ; Vx,Wx,Ib    ; n/a                     ;       0xF3 0x0F 0x70 /r ib         ; s:SSE2, t:SSE, w:W|R|R, e:4
PSHUFLW      ; Vx,Wx,Ib    ; n/a                     ;       0xF2 0x0F 0x70 /r ib         ; s:SSE2, t:SSE, w:W|R|R, e:4
PSRLW        ; Nq,Ib       ; n/a                     ;         NP 0x0F 0x71 /2:reg ib     ; s:MMX, t:MMX, w:RW|R
PSRLW        ; Ux,Ib       ; n/a                     ;       0x66 0x0F 0x71 /2:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:4
PSRAW        ; Nq,Ib       ; n/a                     ;         NP 0x0F 0x71 /4:reg ib     ; s:MMX, t:MMX, w:RW|R
PSRAW        ; Ux,Ib       ; n/a                     ;       0x66 0x0F 0x71 /4:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:4
PSLLW        ; Nq,Ib       ; n/a                     ;         NP 0x0F 0x71 /6:reg ib     ; s:MMX, t:MMX, w:RW|R
PSLLW        ; Ux,Ib       ; n/a                     ;       0x66 0x0F 0x71 /6:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:4
PSRLD        ; Nq,Ib       ; n/a                     ;         NP 0x0F 0x72 /2:reg ib     ; s:MMX, t:MMX, w:RW|R
PSRLD        ; Ux,Ib       ; n/a                     ;       0x66 0x0F 0x72 /2:reg ib     ; s:SSE2, t:SSE, w:RW|R, e:4
PSRAD        ; Nq,Ib       ; n/a                     ;         NP 0x0F 0x72 /4:reg ib     ; s:MMX, t:MMX, w:RW|R
