#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F

# 0x10 - 0x1F
VMOVUPS           ; Vx,Wx               ; n/a             ;  vex m:1 p:0 l:x w:i 0x10 /r          ; s:AVX, t:DATAXFER, w:W|R, e:4
VMAXSD            ; Vsd,Hsd,Wsd         ; n/a             ;  vex m:1 p:3 l:i w:i 0x5F /r          ; s:AVX, t:AVX, w:W|R|R, e:2


# 0x60 - 0x6F
VPUNPCKLBW        ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x60 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKLWD        ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x61 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKLDQ        ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x62 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPACKSSWB         ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x63 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPCMPGTB          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x64 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPCMPGTW          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x65 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPCMPGTD          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x66 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPACKUSWB         ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x67 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKHBW        ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x68 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKHWD        ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x69 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKHDQ        ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x6A /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPACKSSDW         ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x6B /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKLQDQ       ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x6C /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPUNPCKHQDQ       ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x6D /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VMOVD             ; Vdq,Ey              ; n/a             ;  vex m:1 p:1 l:0 w:0 0x6E /r          ; s:AVX, t:DATAXFER, w:W|R, e:5, a:IWO64
VMOVQ             ; Vdq,Ey              ; n/a             ;  vex m:1 p:1 l:0 w:1 0x6E /r          ; s:AVX, t:DATAXFER, w:W|R, e:5, a:IWO64
VMOVDQA           ; Vx,Wx               ; n/a             ;  vex m:1 p:1 l:x w:i 0x6F /r          ; s:AVX, t:DATAXFER, w:W|R, e:1
VMOVDQU           ; Vx,Wx               ; n/a             ;  vex m:1 p:2 l:x w:i 0x6F /r          ; s:AVX, t:DATAXFER, w:W|R, e:4



# 0x70 - 0x7F
VPSHUFD           ; Vx,Wx,Ib            ; n/a             ;  vex m:1 p:1 l:x w:i 0x70 /r ib       ; s:AVX, t:AVX, w:W|R|R, e:4
VPSHUFHW          ; Vx,Wx,Ib            ; n/a             ;  vex m:1 p:2 l:x w:i 0x70 /r ib       ; s:AVX, t:AVX, w:W|R|R, e:4
VPSHUFLW          ; Vx,Wx,Ib            ; n/a             ;  vex m:1 p:3 l:x w:i 0x70 /r ib       ; s:AVX, t:AVX, w:W|R|R, e:4
VPCMPEQB          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x74 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPCMPEQW          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x75 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPCMPEQD          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0x76 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VZEROUPPER        ; n/a                 ; BANK            ;  vex m:1 p:0 l:0 0x77                 ; s:AVX, t:AVX, w:W, e:8
VZEROALL          ; n/a                 ; BANK            ;  vex m:1 p:0 l:1 0x77                 ; s:AVX, t:AVX, w:W, e:8
VHADDPD           ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0x7C /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VHADDPS           ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:3 l:x w:i 0x7C /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VHSUBPD           ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0x7D /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VHSUBPS           ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:3 l:x w:i 0x7D /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VMOVD             ; Ey,Vd               ; n/a             ;  vex m:1 p:1 l:0 w:0 0x7E /r          ; s:AVX, t:DATAXFER, w:W|R, e:5, a:IWO64
VMOVQ             ; Ey,Vq               ; n/a             ;  vex m:1 p:1 l:0 w:1 0x7E /r          ; s:AVX, t:DATAXFER, w:W|R, e:5, a:IWO64
VMOVQ             ; Vdq,Wq              ; n/a             ;  vex m:1 p:2 l:0 w:i 0x7E /r          ; s:AVX, t:DATAXFER, w:W|R, e:5
VMOVDQA           ; Wx,Vx               ; n/a             ;  vex m:1 p:1 l:x w:i 0x7F /r          ; s:AVX, t:DATAXFER, w:W|R, e:1
VMOVDQU           ; Wx,Vx               ; n/a             ;  vex m:1 p:2 l:x w:i 0x7F /r          ; s:AVX, t:DATAXFER, w:W|R, e:4
VPSRLW            ; Hx,Ux,Ib            ; n/a             ;  vex m:1 p:1 l:x w:i 0x71 /2:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:7
VPSRAW            ; Hx,Ux,Ib            ; n/a             ;  vex m:1 p:1 l:x w:i 0x71 /4:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:7
VPSLLW            ; Hx,Ux,Ib            ; n/a             ;  vex m:1 p:1 l:x w:i 0x71 /6:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:7
VPSRLD            ; Hx,Ux,Ib            ; n/a             ;  vex m:1 p:1 l:x w:i 0x72 /2:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:7
VPSRAD            ; Hx,Ux,Ib            ; n/a             ;  vex m:1 p:1 l:x w:i 0x72 /4:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:7
VPSLLD            ; Hx,Ux,Ib            ; n/a             ;  vex m:1 p:1 l:x w:i 0x72 /6:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:7
VPSRLQ            ; Hx,Ux,Ib            ; n/a             ;  vex m:1 p:1 l:x w:i 0x73 /2:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:7
VPSRLDQ           ; Hx,Ux,Ib            ; n/a             ;  vex m:1 p:1 l:x w:i 0x73 /3:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:7
VPSLLQ            ; Hx,Ux,Ib            ; n/a             ;  vex m:1 p:1 l:x w:i 0x73 /6:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:7
VPSLLDQ           ; Hx,Ux,Ib            ; n/a             ;  vex m:1 p:1 l:x w:i 0x73 /7:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:7

# 0x80 - 0x8F

# 0x90 - 0x9F

# 0xA0 - 0xAF
VLDMXCSR          ; Md                  ; MXCSR           ;  vex m:1 p:0 0xAE /2:mem              ; s:AVX, t:AVX, w:R|W, e:5
VSTMXCSR          ; Md                  ; MXCSR           ;  vex m:1 p:0 0xAE /3:mem              ; s:AVX, t:AVX, w:W|R, e:5
SPFLT             ; Ry                  ; n/a             ;  vex m:1 p:3 0xAE /6:reg              ; s:UNKNOWN, t:UNKNOWN, w:R
DELAY             ; Ry                  ; n/a             ;  vex m:1 p:2 0xAE /6:reg              ; s:UNKNOWN, t:UNKNOWN, w:R
CLEVICT0          ; M?                  ; n/a             ;  vex m:1 p:3 0xAE /7:mem              ; s:UNKNOWN, t:UNKNOWN, w:N
CLEVICT1          ; M?                  ; n/a             ;  vex m:1 p:2 0xAE /7:mem              ; s:UNKNOWN, t:UNKNOWN, w:N

# 0xB0 - 0xBF

# 0xC0 - 0xCF
VCMPPS            ; Vss,Hss,Wss,Ib      ; n/a             ;  vex m:1 p:0 l:i w:i 0xC2 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:3
VCMPPD            ; Vpd,Hpd,Wpd,Ib      ; n/a             ;  vex m:1 p:1 l:x w:i 0xC2 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:3
VCMPSS            ; Vss,Hss,Wss,Ib      ; n/a             ;  vex m:1 p:2 l:i w:i 0xC2 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:3
VCMPSD            ; Vsd,Hsd,Wsd,Ib      ; n/a             ;  vex m:1 p:3 l:i w:i 0xC2 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:3
VPINSRW           ; Vdq,Hdq,Mw,Ib       ; n/a             ;  vex m:1 p:1 l:0 w:i 0xC4 /r:mem ib   ; s:AVX, t:AVX, w:W|R|R|R, e:5
VPINSRW           ; Vdq,Hdq,Rd,Ib       ; n/a             ;  vex m:1 p:1 l:0 w:i 0xC4 /r:reg ib   ; s:AVX, t:AVX, w:W|R|R|R, e:5
VPEXTRW           ; Gy,Udq,Ib           ; n/a             ;  vex m:1 p:1 l:0 w:i 0xC5 /r:reg ib   ; s:AVX, t:AVX, w:W|R|R, e:5, a:D64
VSHUFPS           ; Vps,Hps,Wps,Ib      ; n/a             ;  vex m:1 p:0 l:x w:i 0xC6 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:4
VSHUFPD           ; Vpd,Hpd,Wpd,Ib      ; n/a             ;  vex m:1 p:1 l:x w:i 0xC6 /r ib       ; s:AVX, t:AVX, w:W|R|R|R, e:4

# 0xD0 - 0xDF
VADDSUBPD         ; Vpd,Hpd,Wpd         ; n/a             ;  vex m:1 p:1 l:x w:i 0xD0 /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VADDSUBPS         ; Vps,Hps,Wps         ; n/a             ;  vex m:1 p:3 l:x w:i 0xD0 /r          ; s:AVX, t:AVX, w:W|R|R, e:2
VPSRLW            ; Vx,Hx,Wdq           ; n/a             ;  vex m:1 p:1 l:x w:i 0xD1 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPSRLD            ; Vx,Hx,Wdq           ; n/a             ;  vex m:1 p:1 l:x w:i 0xD2 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPSRLQ            ; Vx,Hx,Wdq           ; n/a             ;  vex m:1 p:1 l:x w:i 0xD3 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPADDQ            ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xD4 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMULLW           ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xD5 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VMOVQ             ; Wq,Vdq              ; n/a             ;  vex m:1 p:1 l:0 w:i 0xD6 /r          ; s:AVX, t:DATAXFER, w:W|R, e:5
VPMOVMSKB         ; Gy,Ux               ; n/a             ;  vex m:1 p:1 l:x w:i 0xD7 /r:reg      ; s:AVX, t:DATAXFER, w:W|R, e:7, a:D64
VPSUBUSB          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xD8 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPSUBUSW          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xD9 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMINUB           ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xDA /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPAND             ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xDB /r          ; s:AVX, t:LOGICAL, w:W|R|R, e:4
VPADDUSB          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xDC /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPADDUSW          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xDD /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMAXUB           ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xDE /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPANDN            ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xDF /r          ; s:AVX, t:LOGICAL, w:W|R|R, e:4

# 0xE0 - 0xEF
VPAVGB            ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xE0 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPSRAW            ; Vx,Hx,Wdq           ; n/a             ;  vex m:1 p:1 l:x w:i 0xE1 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPSRAD            ; Vx,Hx,Wdq           ; n/a             ;  vex m:1 p:1 l:x w:i 0xE2 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPAVGW            ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xE3 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMULHUW          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xE4 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMULHW           ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xE5 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VCVTTPD2DQ        ; Vdq,Wx              ; n/a             ;  vex m:1 p:1 l:x w:i 0xE6 /r          ; s:AVX, t:CONVERT, w:W|R, e:2
VCVTDQ2PD         ; Vdq,Wq              ; n/a             ;  vex m:1 p:2 l:0 w:i 0xE6 /r          ; s:AVX, t:CONVERT, w:W|R, e:5
VCVTDQ2PD         ; Vqq,Wdq             ; n/a             ;  vex m:1 p:2 l:1 w:i 0xE6 /r          ; s:AVX, t:CONVERT, w:W|R, e:5
VCVTPD2DQ         ; Vdq,Wx              ; n/a             ;  vex m:1 p:3 l:x w:i 0xE6 /r          ; s:AVX, t:CONVERT, w:W|R, e:2
VMOVNTDQ          ; Mx,Vx               ; n/a             ;  vex m:1 p:1 l:x w:i 0xE7 /r:mem      ; s:AVX, t:AVX, w:W|R, e:1
VPSUBSB           ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xE8 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPSUBSW           ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xE9 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMINSW           ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xEA /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPOR              ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xEB /r          ; s:AVX, t:LOGICAL, w:W|R|R, e:4
VPADDSB           ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xEC /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPADDSW           ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xED /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMAXSW           ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xEE /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPXOR             ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xEF /r          ; s:AVX, t:LOGICAL, w:W|R|R, e:4

# 0xF0 - 0xFF
VLDDQU            ; Vx,Mx               ; n/a             ;  vex m:1 p:3 l:x w:i 0xF0 /r:mem      ; s:AVX, t:AVX, w:W|R, e:4
VPSLLW            ; Vx,Hx,Wdq           ; n/a             ;  vex m:1 p:1 l:x w:i 0xF1 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPSLLD            ; Vx,Hx,Wdq           ; n/a             ;  vex m:1 p:1 l:x w:i 0xF2 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPSLLQ            ; Vx,Hx,Wdq           ; n/a             ;  vex m:1 p:1 l:x w:i 0xF3 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMULUDQ          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xF4 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPMADDWD          ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xF5 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPSADBW           ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xF6 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VMASKMOVDQU       ; Vdq,Udq             ; pDIdq           ;  vex m:1 p:1 l:0 w:i 0xF7 /r:reg      ; s:AVX, t:AVX, w:R|R|W, e:4
VPSUBB            ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xF8 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPSUBW            ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xF9 /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPSUBD            ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xFA /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPSUBQ            ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xFB /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPADDB            ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xFC /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPADDW            ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xFD /r          ; s:AVX, t:AVX, w:W|R|R, e:4
VPADDD            ; Vx,Hx,Wx            ; n/a             ;  vex m:1 p:1 l:x w:i 0xFE /r          ; s:AVX, t:AVX, w:W|R|R, e:4
