#
# Copyright (c) 2024 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# ADD
ADD             ; Eb,Gb         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0x00 /r           ; s:APX_F, t:ARITH, w:RW|R|W,   v:legacy, e:APX_EVEX_INT, f:ARITH
ROR             ; Ev,1          ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD1 /1           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROT, a:SCALABLE
ROR             ; Ev,1          ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0xD1 /1           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROT, a:SCALABLE 
ROR             ; Eb,CL         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD2 /1           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROT
ROR             ; Ev,CL         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD3 /1           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROT, a:SCALABLE
ROR             ; Ev,CL         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0xD3 /1           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROT, a:SCALABLE 
ROR{NF}         ; Eb,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xC0 /1 ib        ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT
ROR{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xC1 /1 ib        ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE 
ROR{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0xC1 /1 ib        ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
ROR{NF}         ; Eb,1          ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD0 /1           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT 
ROR{NF}         ; Ev,1          ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD1 /1           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
ROR{NF}         ; Ev,1          ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0xD1 /1           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE 
ROR{NF}         ; Eb,CL         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD2 /1           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT 
ROR{NF}         ; Ev,CL         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD3 /1           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
ROR{NF}         ; Ev,CL         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0xD3 /1           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE 
ROR{ND}         ; Bb,Eb,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xC0 /1 ib        ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROT
ROR{ND}         ; Bv,Ev,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xC1 /1 ib        ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROT, a:SCALABLE 
ROR{ND}         ; Bv,Ev,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0xC1 /1 ib        ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROT, a:SCALABLE
ROR{ND}         ; Bb,Eb,1       ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xD0 /1           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROT
ROR{ND}         ; Bv,Ev,1       ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xD1 /1           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROT, a:SCALABLE
ROR{ND}         ; Bv,Ev,1       ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0xD1 /1           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROT, a:SCALABLE 
ROR{ND}         ; Bb,Eb,CL      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xD2 /1           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROT
ROR{ND}         ; Bv,Ev,CL      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xD3 /1           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROT, a:SCALABLE
ROR{ND}         ; Bv,Ev,CL      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0xD3 /1           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROT, a:SCALABLE 
ROR{ND}{NF}     ; Bb,Eb,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xC0 /1 ib        ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT 
ROR{ND}{NF}     ; Bv,Ev,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xC1 /1 ib        ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE 
ROR{ND}{NF}     ; Bv,Ev,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0xC1 /1 ib        ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
ROR{ND}{NF}     ; Bb,Eb,1       ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xD0 /1           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT 
ROR{ND}{NF}     ; Bv,Ev,1       ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xD1 /1           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
ROR{ND}{NF}     ; Bv,Ev,1       ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0xD1 /1           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE 
ROR{ND}{NF}     ; Bb,Eb,CL      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xD2 /1           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT 
ROR{ND}{NF}     ; Bv,Ev,CL      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xD3 /1           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
ROR{ND}{NF}     ; Bv,Ev,CL      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0xD3 /1           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE 


# RCL
RCL             ; Eb,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xC0 /2 ib        ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC
RCL             ; Ev,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xC1 /2 ib        ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE 
RCL             ; Ev,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0xC1 /2 ib        ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE
RCL             ; Eb,1          ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD0 /2           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC
RCL             ; Ev,1          ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD1 /2           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE
RCL             ; Ev,1          ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0xD1 /2           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE 
RCL             ; Eb,CL         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD2 /2           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC
RCL             ; Ev,CL         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD3 /2           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE
RCL             ; Ev,CL         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0xD3 /2           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE 
RCL{NF}         ; Eb,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xC0 /2 ib        ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT
RCL{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xC1 /2 ib        ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE 
RCL{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0xC1 /2 ib        ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
RCL{NF}         ; Eb,1          ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD0 /2           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT 
RCL{NF}         ; Ev,1          ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD1 /2           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
RCL{NF}         ; Ev,1          ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0xD1 /2           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE 
RCL{NF}         ; Eb,CL         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD2 /2           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT 
RCL{NF}         ; Ev,CL         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD3 /2           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
RCL{NF}         ; Ev,CL         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0xD3 /2           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE 
RCL{ND}         ; Bb,Eb,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xC0 /2 ib        ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC
RCL{ND}         ; Bv,Ev,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xC1 /2 ib        ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE 
RCL{ND}         ; Bv,Ev,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0xC1 /2 ib        ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE
RCL{ND}         ; Bb,Eb,1       ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xD0 /2           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC
RCL{ND}         ; Bv,Ev,1       ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xD1 /2           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE
RCL{ND}         ; Bv,Ev,1       ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0xD1 /2           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE 
RCL{ND}         ; Bb,Eb,CL      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xD2 /2           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC
RCL{ND}         ; Bv,Ev,CL      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xD3 /2           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE
RCL{ND}         ; Bv,Ev,CL      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0xD3 /2           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE 
RCL{ND}{NF}     ; Bb,Eb,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xC0 /2 ib        ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT 
RCL{ND}{NF}     ; Bv,Ev,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xC1 /2 ib        ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE 
RCL{ND}{NF}     ; Bv,Ev,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0xC1 /2 ib        ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
RCL{ND}{NF}     ; Bb,Eb,1       ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xD0 /2           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT 
RCL{ND}{NF}     ; Bv,Ev,1       ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xD1 /2           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
RCL{ND}{NF}     ; Bv,Ev,1       ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0xD1 /2           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE 
RCL{ND}{NF}     ; Bb,Eb,CL      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xD2 /2           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT 
RCL{ND}{NF}     ; Bv,Ev,CL      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xD3 /2           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
RCL{ND}{NF}     ; Bv,Ev,CL      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0xD3 /2           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE 


# RCR
RCR             ; Eb,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xC0 /3 ib        ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC
RCR             ; Ev,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xC1 /3 ib        ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE 
RCR             ; Ev,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0xC1 /3 ib        ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE
RCR             ; Eb,1          ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD0 /3           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC
RCR             ; Ev,1          ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD1 /3           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE
RCR             ; Ev,1          ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0xD1 /3           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE 
RCR             ; Eb,CL         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD2 /3           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC
RCR             ; Ev,CL         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD3 /3           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE
RCR             ; Ev,CL         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0xD3 /3           ; s:APX_F, t:ROTATE, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE 
RCR{NF}         ; Eb,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xC0 /3 ib        ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT
RCR{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xC1 /3 ib        ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE 
RCR{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0xC1 /3 ib        ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
RCR{NF}         ; Eb,1          ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD0 /3           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT 
RCR{NF}         ; Ev,1          ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD1 /3           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
RCR{NF}         ; Ev,1          ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0xD1 /3           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE 
RCR{NF}         ; Eb,CL         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD2 /3           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT 
RCR{NF}         ; Ev,CL         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD3 /3           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
RCR{NF}         ; Ev,CL         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0xD3 /3           ; s:APX_F, t:ROTATE, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE 
RCR{ND}         ; Bb,Eb,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xC0 /3 ib        ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC
RCR{ND}         ; Bv,Ev,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xC1 /3 ib        ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE 
RCR{ND}         ; Bv,Ev,Ib      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0xC1 /3 ib        ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE
RCR{ND}         ; Bb,Eb,1       ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xD0 /3           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC
RCR{ND}         ; Bv,Ev,1       ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xD1 /3           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE
RCR{ND}         ; Bv,Ev,1       ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0xD1 /3           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE 
RCR{ND}         ; Bb,Eb,CL      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xD2 /3           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC
RCR{ND}         ; Bv,Ev,CL      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:0 0xD3 /3           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE
RCR{ND}         ; Bv,Ev,CL      ; Fv     ; evex m:4 l:0 nd:1 nf:0 p:1 0xD3 /3           ; s:APX_F, t:ROTATE, w:W|R|R|RW, v:legacy, e:APX_EVEX_INT, f:ROTC, a:SCALABLE 
RCR{ND}{NF}     ; Bb,Eb,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xC0 /3 ib        ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT 
RCR{ND}{NF}     ; Bv,Ev,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xC1 /3 ib        ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE 
RCR{ND}{NF}     ; Bv,Ev,Ib      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0xC1 /3 ib        ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
RCR{ND}{NF}     ; Bb,Eb,1       ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xD0 /3           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT 
RCR{ND}{NF}     ; Bv,Ev,1       ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xD1 /3           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
RCR{ND}{NF}     ; Bv,Ev,1       ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0xD1 /3           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE 
RCR{ND}{NF}     ; Bb,Eb,CL      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xD2 /3           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT 
RCR{ND}{NF}     ; Bv,Ev,CL      ;        ; evex m:4 l:0 nd:1 nf:1 p:0 0xD3 /3           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE
RCR{ND}{NF}     ; Bv,Ev,CL      ;        ; evex m:4 l:0 nd:1 nf:1 p:1 0xD3 /3           ; s:APX_F, t:ROTATE, w:W|R|R,    v:legacy, e:APX_EVEX_INT, a:SCALABLE 


# SHL
SHL             ; Eb,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xC0 /4 ib        ; s:APX_F, t:SHIFT, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:SHIFT
SHL             ; Ev,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xC1 /4 ib        ; s:APX_F, t:SHIFT, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:SHIFT, a:SCALABLE 
SHL             ; Ev,Ib         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0xC1 /4 ib        ; s:APX_F, t:SHIFT, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:SHIFT, a:SCALABLE
SHL             ; Eb,1          ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD0 /4           ; s:APX_F, t:SHIFT, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:SHIFT
SHL             ; Ev,1          ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD1 /4           ; s:APX_F, t:SHIFT, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:SHIFT, a:SCALABLE
SHL             ; Ev,1          ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0xD1 /4           ; s:APX_F, t:SHIFT, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:SHIFT, a:SCALABLE 
SHL             ; Eb,CL         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD2 /4           ; s:APX_F, t:SHIFT, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:SHIFT
SHL             ; Ev,CL         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:0 0xD3 /4           ; s:APX_F, t:SHIFT, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:SHIFT, a:SCALABLE
SHL             ; Ev,CL         ; Fv     ; evex m:4 l:0 nd:0 nf:0 p:1 0xD3 /4           ; s:APX_F, t:SHIFT, w:RW|R|RW,  v:legacy, e:APX_EVEX_INT, f:SHIFT, a:SCALABLE 
SHL{NF}         ; Eb,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xC0 /4 ib        ; s:APX_F, t:SHIFT, w:RW|R,     v:legacy, e:APX_EVEX_INT
SHL{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xC1 /4 ib        ; s:APX_F, t:SHIFT, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE 
SHL{NF}         ; Ev,Ib         ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0xC1 /4 ib        ; s:APX_F, t:SHIFT, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
SHL{NF}         ; Eb,1          ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD0 /4           ; s:APX_F, t:SHIFT, w:RW|R,     v:legacy, e:APX_EVEX_INT 
SHL{NF}         ; Ev,1          ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD1 /4           ; s:APX_F, t:SHIFT, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
SHL{NF}         ; Ev,1          ;        ; evex m:4 l:0 nd:0 nf:1 p:1 0xD1 /4           ; s:APX_F, t:SHIFT, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE 
SHL{NF}         ; Eb,CL         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD2 /4           ; s:APX_F, t:SHIFT, w:RW|R,     v:legacy, e:APX_EVEX_INT 
SHL{NF}         ; Ev,CL         ;        ; evex m:4 l:0 nd:0 nf:1 p:0 0xD3 /4           ; s:APX_F, t:SHIFT, w:RW|R,     v:legacy, e:APX_EVEX_INT, a:SCALABLE
